71099,Not applicable,"['Biography', 'Nonfiction', 'Sports', 'Martial Arts', 'Mixed Martial Arts', 'Personal Development', 'Self Help']",Not applicable,win or learn,"Growing up in Dublin, John Kavanagh was bullied. After suffering a bad beating when he intervened to help a woman being attacked, he decided to learn to defend himself. Before long, he was training fighters in a tiny shed, and promoting the earliest mixed-martial arts events in Ireland. And then, a cocky kid called Conor McGregor walked into his gym. Here, Kavanagh tells his own remarkable life story—which is at the heart of the story of the explosion of MMA in Ireland and globally. Kavanagh has become a guru to young men and women seeking to master the arts of combat, and as McGregor's trainer, his gym has become a magnet for fighters from all over the world. Kavanagh's portrait of McGregor is a revelation. What emerges is a remarkable portrait of ambition, discipline, and persistence in the face of years and years of disappointment. It is a must read for every MMA fan—and anyone who wants to understand how to follow a dream and realize a vision.",john kavanagh,,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fnophoto%2Fuser%2Fu_700x933.png&w=256&q=75,240,4.15,1738,84,,Missing,https://www.goodreads.com/book/show/29620233-win-or-learn,"['673 (38%)', '712 (40%)', '302 (17%)', '43 (2%)', '8 (<1%)']",749,68,,
71100,Not applicable,"['Romance', 'Young Adult', 'Contemporary', 'Contemporary Romance', 'High School', 'Friends To Lovers', 'Disability']",Not applicable,"win some, lose some","For Matthew Rohan, every day is a struggle. Each task others complete without thinking is a challenge for him. Recently orphaned, he has to finish the last few months of high school and take care of his disabled sister on his own.When Mayra comes into his life, his comfortable routines implode. Matthew can’t handle change, but Mayra is unrelenting in her quest to understand him, to show him acceptance and maybe even love. When she breaks through his shell, Matthew’s world will never be the same again.An awkward boy with Asperger’s Syndrome, a persistent girl who pulls him out of his isolated existence, and a lottery ticket that will change their lives forever.",shay savage,"Shay Savage is an independent author from Cincinnati, Ohio, where she lives with her family and a variety of household pets. She is an accomplished public speaker and holds the rank of Distinguished Toastmaster from Toastmasters International. Her hobbies include off-roading in her big, yellow Jeep, science fiction in all forms, and soccer. Savage holds a degree in psychology, and she brings a lot of that knowledge into the characters within her stories.From the author: “It’s my job to make you FEEL. That doesn’t always mean you’ll feel good, but I want my readers to be connected enough to my characters to care.”Savage’s books many books span a wide variety of topics and sub-genres with deeply flawed characters. From cavemen to addicts to hitmen, you’ll find yourself falling for these seemingly irredeemable characters!",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1392149802i%2F5160667._UX200_CR0%2C33%2C200%2C200_.jpg&w=256&q=75,425,4.27,3576,542,,Missing,https://www.goodreads.com/book/show/31558066-win-some-lose-some,"['1,759 (49%)', '1,204 (33%)', '479 (13%)', '102 (2%)', '32 (<1%)']",4542,150,,
71101,Not applicable,"['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Audiobook', 'Westerns', 'Adventure']",Not applicable,wind,"Stephen King schreibt sein epochales Epos um den Dunklen Turm mit einem achten Band fort.""Wind"" ist erzählchronologisch zwischen den Dunkler-Turm-Bänden ""Glas"" und ""Wolfsmond"" anzusiedeln. Stephen King kehrt nach Mittwelt zurück, in jene phantastische, farbenprächtige und zugleich unheimliche Region, wo der Dunkle Turm im Zentrum aller Dinge steht. Roland Deschain, der letzte Revolvermann, hat zusammen mit seinen Gefährten den Grünen Palast hinter sich gelassen. Unterwegs ins Land Donnerschlag werden sie von einem heftigen Unwetter überrascht und müssen unterkriechen. Zeit und Gelegenheiten für Roland, aus seiner stürmischen Jugend zu erzählen, vom unerschrockenen Tim, dem bösen Zauberer und einem unheimlichen Gestaltwandler...",stephen king,"Stephen Edwin King was born the second son of Donald and Nellie Ruth Pillsbury King. After his father left them when Stephen was two, he and his older brother, David, were raised by his mother. Parts of his childhood were spent in Fort Wayne, Indiana, where his father's family was at the time, and in Stratford, Connecticut. When Stephen was eleven, his mother brought her children back to Durham, Maine, for good. Her parents, Guy and Nellie Pillsbury, had become incapacitated with old age, and Ruth King was persuaded by her sisters to take over the physical care of them. Other family members provided a small house in Durham and financial support. After Stephen's grandparents passed away, Mrs. King found work in the kitchens of Pineland, a nearby residential facility for the mentally challenged.Stephen attended the grammar school in Durham and Lisbon Falls High School, graduating in 1966. From his sophomore year at the University of Maine at Orono, he wrote a weekly column for the school newspaper, THE MAINE CAMPUS. He was also active in student politics, serving as a member of the Student Senate. He came to support the anti-war movement on the Orono campus, arriving at his stance from a conservative view that the war in Vietnam was unconstitutional. He graduated in 1970, with a B.A. in English and qualified to teach on the high school level. A draft board examination immediately post-graduation found him 4-F on grounds of high blood pressure, limited vision, flat feet, and punctured eardrums.He met Tabitha Spruce in the stacks of the Fogler Library at the University, where they both worked as students; they married in January of 1971. As Stephen was unable to find placement as a teacher immediately, the Kings lived on his earnings as a laborer at an industrial laundry, and her student loan and savings, with an occasional boost from a short story sale to men's magazines.Stephen made his first professional short story sale (""The Glass Floor"") to Startling Mystery Stories in 1967. Throughout the early years of his marriage, he continued to sell stories to men's magazines. Many were gathered into the Night Shift collection or appeared in other anthologies.In the fall of 1971, Stephen began teaching English at Hampden Academy, the public high school in Hampden, Maine. Writing in the evenings and on the weekends, he continued to produce short stories and to work on novels.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1362814142i%2F3389._UX200_CR0%2C50%2C200%2C200_.jpg&w=256&q=75,432,4.14,90119,6554,,Missing,https://www.goodreads.com/book/show/20618266-wind,"['35,157 (39%)', '36,062 (40%)', '15,748 (17%)', '2,546 (2%)', '606 (<1%)']",70564,2967,,
71102,Not applicable,"['Romance', 'Contemporary Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Adult Fiction', 'Family']",Not applicable,wind chime point,"Facing a personal crisis, ambitious and driven Gabriella Castle retreats to the welcoming arms of her family. Everything she's worked for has been yanked out from under her, and she seeks the serenity of her grandmother's home on the North Carolina coast. With difficult decisions to make about her future, the last thing she wants is an unexpected love. Wade Johnson fell for Gabi the first time he saw her. It's not the only time he's found himself in the role of knight in shining armor, but Gabi isn't looking for a rescuer. To get her to stay, Wade will need a whole lot of patience and gentle persuasion?and maybe the soothing sound of wind chimes on a summer breeze.",sherryl woods,"With two other careers to her credit before becoming a novelist and four states in which she's lived for extended periods of time, Sherryl Woods has collected friends and memories, along with way too much unnecessary junk.""The friends are the only things I've brought with me through the years that really matter,"" she says. ""I could probably live without one more chintz teacup, another tin-litho sandpail or another snowglobe, but I need those friends.""The theme of enduring friendships and families is always central to Sherryl's books, including her latest Chesapeake Shores series — THE INN AT EAGLE POINT, FLOWERS ON MAIN and HARBOR LIGHTS.Author of more than 100 romance and mystery novels, Sherryl Woods grew up in Virginia. Over the years she had lived in Ohio and Florida, as well as California. Currently she divides her time between Key Biscayne, Florida and Colonial Beach, Virginia, the small, river-front town where she spent her childhood summers.A graduate of Ohio State University School of Journalism, Sherryl spent more than ten years as a journalist, most of them as a television critic for newspapers in Ohio and Florida. For several years she also coordinated a motivational program for the more than 8,000 employees at the University of Miami-Jackson Memorial Medical Center.Her first book, RESTORING LOVE, was published in 1982 by Dell Candlelight Ecstasy under the pseudonym of Suzanne Sherrill. Her second book, SAND CASTLES, under the pseudonym of Alexandra Kirk, was published later that same year by Bantam. She began using her own name when she moved to the Second Chance at Love line at Berkley Publishing. In 1986, she began writing full-time and also began her long career at Silhouette Books with the Desire title NOT AT EIGHT, DARLING, set in the world of television which she covered for so many years.In addition to her more than 75 romances for Silhouette Desire and Special Edition, she has written thirteen mysteries — nine in the Amanda Roberts series and four in the Molly DeWitt series. When she's not writing or reading, Sherryl loves to garden, though she's not at her best on a riding lawn mower. She also loves tennis, theater, and ballet, even though her top spin has long since vanished, she's never set foot on a stage, and she's way too uncoordinated to dance. She also loves baseball and claims anyone who's ever seen Kevin Costner in ""Bull Durham"" can understand why.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1247176066i%2F59446._UX200_CR0%2C34%2C200%2C200_.jpg&w=256&q=75,9,4.11,4982,301,,Missing,https://www.goodreads.com/book/show/17018248-wind-chime-point,"['1,928 (38%)', '1,883 (37%)', '975 (19%)', '170 (3%)', '26 (<1%)']",3167,913,,
71103,Not applicable,"['Romance', 'Contemporary', 'Fiction', 'Contemporary Romance', 'Chick Lit', 'Military Fiction', 'Drama']",Not applicable,wind chime wedding,"Second grade teacher Becca Haddaway is weeks away from walking down the aisle with her high school sweetheart when she learns that the Heron Island Elementary School is about to be shut down. Knowing that losing the school would devastate the fragile island community, Becca pushes aside her wedding plans to save it. But the one man who can help her is determined to make her question every decision she has ever made—including the man she’s about to marry. Former Navy SEAL Colin Foley is finally starting to feel whole again after losing his leg on a career-ending deployment in Afghanistan. After struggling for months to figure out what to do with his post-military life, he’s found a new mission—opening a rehab center for wounded veterans on the peaceful Chesapeake Bay island. All he needs now is a woman to share his new life with…and he knows exactly who he wants. With a little help from the island’s magical wind chimes, can Colin convince Becca to change her mind before it’s too late?",sophie moss,"Sophie Moss is a USA Today bestselling and multi-award winning author. She is known for her captivating Irish fantasy romances and heartwarming contemporary romances with realistic characters and unique island settings. As a former journalist, Sophie has been writing professionally for over fifteen years. She lives in Maryland, where she's working on her next novel. When she's not writing, she's testing out a new dessert recipe, exploring the Chesapeake Bay, or working in her garden.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1662732974i%2F5318290._UX200_CR0%2C50%2C200%2C200_.jpg&w=256&q=75,288,4.43,1202,109,,Missing,https://www.goodreads.com/book/show/25596142-wind-chime-wedding,"['693 (57%)', '357 (29%)', '129 (10%)', '21 (1%)', '2 (<1%)']",599,295,,
71104,Not applicable,"['Historical Romance', 'Historical', 'Native American', 'Romance', 'Westerns', 'Indian Literature', 'Historical Fiction']",Not applicable,wind warrior,"When Wind Warrior, the savior of his Blackfoot people, falls for his beautiful white captive, he fuels his brother's hatred, igniting a fierce rivalry between them that sets in motion a dangerous chain of events. (Historical romance). Original. 275,000 first printing.",constance o'banyon,"Evelyn Gee was born on 1939 in Texas, USA. She makes her home in San Antonio with her husband, Jim and their son, Jason.She signed her novels as Constance O'Banyon. She also wrote as Micah Leigh with Texan writer Emma Merritt. Her books range from historical to contemporary and include several novellas. Many of her books have been published in trade paperback.Among her many awards, she is the recipient of the 1996 Romantic Times Career Achievement Award. There are eight million copies of her books in print.She says: ""I have always loved history, and I loved storytelling — it was only natural that I would one day put them both together. I must have lived in another life and time, because when I write, I can almost feel I was there. My favorite part of writing is the research. Whenever possible, I will go to the place I am writing about to walk the land and smell the air.""https://www.facebook.com/Constanceobanyon/",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1263270483i%2F13373.jpg&w=256&q=75,292,4.21,783,37,,Missing,https://www.goodreads.com/book/show/7664599-wind-warrior,"['390 (49%)', '230 (29%)', '116 (14%)', '30 (3%)', '17 (2%)']",492,214,,
71105,Not applicable,"['Fiction', 'Japan', 'Japanese Literature', 'Magical Realism', 'Contemporary', 'Novels', 'Audiobook']",Not applicable,wind/pinball,"NATIONAL BESTSELLERWind/Pinball, a unique two-in-one volume, includes, on one side, Murakami’s first novel  Hear the Wind Sing . When you flip the book over, you can read his second novel,  Pinball, 1973 . Each book has its own stunning cover.In the spring of 1978, a young Haruki Murakami sat down at his kitchen table and began to write. The two remarkable short novels— Hear the Wind Sing  and  Pinball, 1973 —that launched the career of one of the most acclaimed authors of our time.These powerful, at times surreal, works about two young men coming of age—the unnamed narrator and his friend the Rat—are stories of loneliness, obsession, and eroticism. They bear all the hallmarks of Murakami’s later books, and form the first two-thirds, with  A Wild Sheep Chase , of the trilogy of the Rat. Widely available in English for the first time ever, newly translated, and featuring a new introduction by Murakami himself,  Wind/Pinball  gives us a fascinating insight into a great writer’s beginnings.",haruki murakami,"Haruki Murakami (村上春樹) is a Japanese writer. His novels, essays, and short stories have been best-sellers in Japan and internationally, with his work translated into 50 languages and having sold millions of copies outside Japan. He has received numerous awards for his work, including the Gunzo Prize for New Writers, the World Fantasy Award, the Tanizaki Prize, Yomiuri Prize for Literature, the Frank O'Connor International Short Story Award, the Noma Literary Prize, the Franz Kafka Prize, the Kiriyama Prize for Fiction, the Goodreads Choice Awards for Best Fiction, the Jerusalem Prize, and the Princess of Asturias Awards.Growing up in Ashiya, near Kobe before moving to Tokyo to attend Waseda University, he published his first novel Hear the Wind Sing (1979) after working as the owner of a small jazz bar for seven years. His notable works include the novels Norwegian Wood (1987), The Wind-Up Bird Chronicle (1994–95), Kafka on the Shore (2002) and 1Q84 (2009–10); the last was ranked as the best work of Japan's Heisei era (1989–2019) by the national newspaper Asahi Shimbun's survey of literary experts. His work spans genres including science fiction, fantasy, and crime fiction, and has become known for his use of magical realist elements. His official website cites  Raymond Chandler,  Kurt Vonnegut and  Richard Brautigan as key inspirations to his work, while Murakami himself has named  Kazuo Ishiguro,  Cormac McCarthy and  Dag Solstad as his favourite currently active writers. Murakami has also published five short story collections, including First Person Singular (2020), and non-fiction works including Underground (1997), an oral history of the Tokyo subway sarin attack, and What I Talk About When I Talk About Running (2007), a memoir about his experience as a long distance runner.His fiction has polarized literary critics and the reading public. He has sometimes been criticised by Japan's literary establishment as un-Japanese, leading to Murakami's recalling that he was a ""black sheep in the Japanese literary world"". Meanwhile, Murakami has been described by  Gary Fisketjon, the editor of Murakami's collection The Elephant Vanishes (1993), as a ""truly extraordinary writer"", while  Steven Poole of The Guardian praised Murakami as ""among the world's greatest living novelists"" for his oeuvre.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1615497402i%2F3354._UX200_CR0%2C5%2C200%2C200_.jpg&w=256&q=75,256,3.53,32831,3301,,Missing,https://www.goodreads.com/book/show/28503784-wind-pinball,"['4,639 (14%)', '11,872 (36%)', '12,933 (39%)', '2,952 (8%)', '435 (1%)']",16168,1986,,
71106,Not applicable,"['Fantasy', 'Paranormal', 'Magic', 'Urban Fantasy', 'Romance', 'Fiction', 'Fae']",Not applicable,windburn,"
My name is Larkspur, and I am an Elemental.My people use the power of the earth to sustain life and defy our enemies. I should be at my father's side as a royal princess. But as a half-breed, bastard child, that isn't going to happen.
The King is missing and his mind is cracked. It is up to me to find him before the Rim is taken over by the bloodthirsty heir to the throne. But the path to finding the King is anything but straight, and I find myself in the human world facing possible banishment. All to find a Tracker who happens to be on the run from a demon, yet she is my only hope in bringing my father home.  Nothing is as it seems and I'm uncertain who is friend or foe. My impending punishment threatens to suffocate me as I defy our laws and fight to bring peace to my home. . . and fight to keep those I love the dearest alive. How will I get both my father and I out of this one unscathed? Welcome to being The Chosen One.",shannon mayer,"A long time ago, in a galaxy far away, I was born into a family of Star Wars nuts. I have a lot of siblings (somewhere I lost count but I think there was more than could be numbered on one hand) and being one of the young padawans I was subjected to Star Wars marathons, on a regular basis. If you've read any of my books you'll see there is often a reference to said movies as a small homage to my upbringing. May the force be with you and all that jazz.I started writing when I realized I didn't want to grow up not believing in magic, or not believing in creatures everyone else said didn't exist. That being said, I have never seen a fairy, unicorn or dragon. I had a neighbour who swore they fed the leprechauns in their garden, but I never caught the little buggers no matter how long I lay in wait. (And consequently had to help the neighbours plant new flowers to replace those I killed waiting for the leprechauns to show their faces.)Along the way, I found my husband who is the rock that keeps me from floating away into my dreams, and we have a little boy who is the centre of our world. Living on a farm keeps us busy (as if the writing wasn't enough) and I have more than my share of stories about wrestling with cows, helping birth calves and ending up in the creek during the process, falling in the mud (we'll call it mud but we all know that on a farm, mud is rarely mud) and chasing escaped livestock in the hopes the four legged convicts don't make it to the highway.I've taken up archery, and the goal is to move into horseback archery in time (you know, when I can hit the target on a consistent basis) and when no one is looking, I love to bake (this doesn't happen often as it's hard to keep the sweet treats in stock with two boys in the house.)As to what's coming next for me? More stories (since those never stop inside my head, I might as well share them with all of you!) and more adventures. Pretty much, when the fancy strikes, I'll jump on it. Leap before you look I'm sure that motto was created for me.Or was that . . . think big and dream bigger, ready, set, pull the trigger . . . yeah. That one is a good one too. But only if you have a gun. And are hunting elephants. Which is not cool because of so many reasons. Let's stick with the first one with an addendum.Leap before you look and let your dreams carry you on their wings. And that, my friends, is me in a nutshell.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1315338684i%2F5172000.jpg&w=256&q=75,346,4.35,6984,281,,Missing,https://www.goodreads.com/book/show/27830658-windburn,"['3,663 (52%)', '2,278 (32%)', '883 (12%)', '139 (1%)', '21 (<1%)']",1334,2148,,
71107,Not applicable,"['Horror', 'Short Stories', 'Fiction', 'Weird Fiction', 'Fantasy', 'Dark', 'American']",Not applicable,windeye,"“Brian Evenson is one of the treasures of American story writing, a true successor both to the generation of Coover, Barthelme, Hawkes and Co., but also to Edgar Allan Poe.” —Jonathan Lethem “Laughter can be an effective tool of the horror writer, and Evenson is its finest practitioner.”— Time Out ChicagoA woman falling out of sync with the world; a king’s servant hypnotized by his murderous horse; a transplanted ear with a mind of its own—the characters in these stories live as interlopers in a world shaped by mysterious disappearances and unfathomable discrepancies between the real and the imagined. Evenson, master of literary horror, presents his most far-ranging collection to date, exploring how humans struggle to persist in an increasingly unreal world. Haunting, gripping, and psychologically fierce, these tales illuminate a dark and unsettling side of humanity. ",brian evenson,"Brian Evenson is an American academic and writer of both literary fiction and popular fiction, some of the latter being published under B. K. Evenson.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fnophoto%2Fuser%2Fu_700x933.png&w=256&q=75,197,4.02,895,122,,Missing,https://www.goodreads.com/book/show/17780905-windeye,"['312 (34%)', '331 (36%)', '213 (23%)', '32 (3%)', '7 (<1%)']",1992,120,,
71108,Not applicable,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Young Adult Contemporary', 'Audiobook']",Not applicable,windfall,"Alice doesn’t believe in luck—at least, not the good kind. But she does believe in love, and for some time now, she’s been pining for her best friend, Teddy. On his eighteenth birthday—just when it seems they might be on the brink of something—she buys him a lottery ticket on a lark. To their astonishment, he wins $140 million, and in an instant, everything changes. At first, it seems like a dream come true, especially since the two of them are no strangers to misfortune. As a kid, Alice won the worst kind of lottery possible when her parents died just over a year apart from each other. And Teddy’s father abandoned his family not long after that, leaving them to grapple with his gambling debts. Through it all, Teddy and Alice have leaned on each other. But now, as they negotiate the ripple effects of Teddy’s newfound wealth, a gulf opens between them. And soon, the money starts to feel like more of a curse than a windfall. As they try to find their way back to each other, Alice learns more about herself than she ever could have imagined . . . and about the unexpected ways in which luck and love sometimes intersect.",jennifer e. smith,"Jennifer E. Smith is the author of nine books for young adults, including The Statistical Probability of Love at First Sight and Hello, Goodbye, and Everything in Between, both of which were recently adapted for film. She earned her master's degree in creative writing from the University of St. Andrews in Scotland, and her writing has been translated into 33 languages. She currently lives in Los Angeles.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1626294773i%2F805184._UX200_CR0%2C33%2C200%2C200_.jpg&w=256&q=75,417,3.67,16822,2432,,Missing,https://www.goodreads.com/book/show/35202165-windfall,"['3,318 (19%)', '6,291 (37%)', '5,724 (34%)', '1,245 (7%)', '244 (1%)']",19616,648,,
71109,Not applicable,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Magic', 'Fiction', 'Paranormal Romance']",Not applicable,windfall,"Joanne is all-out exhausted. When not donning a rain slicker and camping it up for the camera as a TV weather girl, she has to contend with a vengeful cop on her tail, her newly divorced sister moving in—with a charming but mysterious British beau in tow—and getting caught in the middle of a supernatural civil war. Worst of all, her boyfriend in a bottle can’t stop draining her powers and is fast morphing from the Djinn of her dreams to the Ifrit of her nightmares.As the agreement between the Wardens and the Djinn starts to self-destruct, Joanne finds herself forced to choose between saving her lover, saving her Warden abilities…and saving humanity.",rachel caine,Rachel Caine is a pen name of Roxanne Longstreet Conrad.She has also published as:Roxanne LongstreetRoxanne ConradJulie FortuneIan HammellHer Facebook page:https://www.facebook.com/rachelcainef...Her Instagram page:https://www.instagram.com/rachelcaine...,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1373144795i%2F15292._UX200_CR0%2C50%2C200%2C200_.jpg&w=256&q=75,356,3.94,7898,279,,Missing,https://www.goodreads.com/book/show/9006002-windfall,"['2,343 (29%)', '3,169 (40%)', '2,038 (25%)', '296 (3%)', '52 (<1%)']",3575,114,,
71110,Not applicable,"['Fiction', 'Romance', 'Historical Fiction', 'Audiobook', 'Chick Lit', 'Contemporary', 'Adult']",Not applicable,windfallen,"Merham is a stuffy seaside town, the kind of village in which everyone knows her place—and those who don’t are promptly put in it. Lottie Swift, a Londoner by birth, loves Merham, while her best friend, Celia, chafes against its constraints. When a group of bohemians descend upon Arcadia, the unusual Art Deco house set high above the seaside cliffs, the two young women are drawn into a world neither one of them could have dreamed.Years later, Daisy Parsons, abandoned by her husband, finds refuge in the now empty house. But destiny intervenes and Arcadia once again is the catalyst for romance and redemption.Vivid and absorbing, Windfallen will win the hearts of a new generation of women everywhere.",jojo moyes,"Jojo Moyes is a British novelist.Moyes studied at Royal Holloway, University of London. She won a bursary financed by The Independent newspaper to study journalism at City University and subsequently worked for The Independent for 10 years. In 2001 she became a full time novelist. Moyes' novel Foreign Fruit won the Romantic Novelists' Association (RNA) Romantic Novel of the Year in 2004.She is married to journalist Charles Arthur and has three children.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1400624880i%2F281810._UX200_CR0%2C50%2C200%2C200_.jpg&w=256&q=75,518,3.67,17561,1280,,Missing,https://www.goodreads.com/book/show/20192752-windfallen,"['3,791 (21%)', '6,406 (36%)', '5,603 (31%)', '1,328 (7%)', '433 (2%)']",14032,3241,,
71111,Not applicable,"['Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'High Fantasy']",Not applicable,windhaven,"“Told with a true storyteller’s clear, singing, persuasive, and wonderfully moving . . . a truly wonderful book.”—Jane Yolen From #1 New York Times bestselling author George R. R. Martin and acclaimed author Lisa Tuttle comes a timeless tale that brilliantly renders the struggle between the ironbound world of tradition and a rebellious soul seeking to prove the power of a dream.  Among the scattered islands that make up the water world of Windhaven, no one holds more prestige than the silver-winged flyers, romantic figures who cross treacherous oceans, braving shifting winds and sudden storms, to bring news, gossip, songs, and stories to a waiting populace. Maris of Amberly, a fisherman’s daughter, wants nothing more than to soar on the currents high above Windhaven. So she challenges tradition, demanding that flyers be chosen by merit rather than inheritance. But even after winning that bitter battle, Maris finds that her troubles are only beginning. Now a revolution threatens to destroy the world she fought so hard to join—and force her to make the ultimate sacrifice. “Martin and Tuttle make wonderful professional music together . . . shifting easily from moments of almost unbearable tension to others of sheer poetry and exhilaration.”—Fort Worth Star-Telegram “A powerful flight of the imagination . . . an entirely enjoyable reading experience, wrought by a pair of writers noted for excellence.”—Roger Zelazny “It’s romance. It’s science fiction. It’s beautiful.”—A. E. van Vogt “I didn’t mean to stay up all night to finish Windhaven, but I had to!”—Anne McCaffrey",george r.r. martin,"George Raymond Richard ""R.R."" Martin was born September 20, 1948, in Bayonne, New Jersey. His father was Raymond Collins Martin, a longshoreman, and his mother was Margaret Brady Martin. He has two sisters, Darleen Martin Lapinski and Janet Martin Patten. Martin attended Mary Jane Donohoe School and Marist High School. He began writing very young, selling monster stories to other neighborhood children for pennies, dramatic readings included. Later he became a comic book fan and collector in high school, and began to write fiction for comic fanzines (amateur fan magazines). Martin's first professional sale was made in 1970 at age 21: The Hero, sold to Galaxy, published in February, 1971 issue. Other sales followed. In 1970 Martin received a B.S. in Journalism from Northwestern University, Evanston, Illinois, graduating summa cum laude. He went on to complete a M.S. in Journalism in 1971, also from Northwestern. As a conscientious objector, Martin did alternative service 1972-1974 with VISTA, attached to Cook County Legal Assistance Foundation. He also directed chess tournaments for the Continental Chess Association from 1973-1976, and was a Journalism instructor at Clarke College, Dubuque, Iowa, from 1976-1978. He wrote part-time throughout the 1970s while working as a VISTA Volunteer, chess director, and teacher. In 1975 he married Gale Burnick. They divorced in 1979, with no children. Martin became a full-time writer in 1979. He was writer-in-residence at Clarke College from 1978-79. Moving on to Hollywood, Martin signed on as a story editor for Twilight Zone at CBS Television in 1986. In 1987 Martin became an Executive Story Consultant for Beauty and the Beast at CBS. In 1988 he became a Producer for Beauty and the Beast, then in 1989 moved up to Co-Supervising Producer. He was Executive Producer for Doorways, a pilot which he wrote for Columbia Pictures Television, which was filmed during 1992-93. Martin's present home is Santa Fe, New Mexico. He is a member of Science Fiction & Fantasy Writers of America (he was South-Central Regional Director 1977-1979, and Vice President 1996-1998), and of Writers' Guild of America, West. http://us.macmillan.com/author/george...",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1649011787i%2F346732._UX200_CR0%2C27%2C200%2C200_.jpg&w=256&q=75,268,3.68,7078,673,,Missing,https://www.goodreads.com/book/show/7477493-windhaven,"['1,496 (21%)', '2,674 (37%)', '2,177 (30%)', '594 (8%)', '137 (1%)']",5367,422,,
