,review
282,nan
283,nan
284,nan
285,nan
286,nan
287,nan
288,nan
289,nan
290,nan
291,nan
292,nan
293,nan
294,nan
295,nan
296,nan
297,nan
298,nan
299,nan
300,nan
301,nan
302,nan
303,nan
304,nan
305,nan
306,nan
307,nan
308,nan
309,nan
310,nan
311,nan
312,nan
313,nan
314,nan
315,nan
316,nan
317,nan
318,nan
319,nan
320,nan
321,nan
322,nan
323,nan
324,nan
325,nan
326,nan
327,nan
328,nan
329,nan
330,nan
331,nan
332,nan
333,nan
334,nan
335,nan
336,nan
337,nan
338,nan
339,nan
340,nan
341,nan
342,nan
343,nan
344,nan
345,nan
346,nan
347,nan
348,nan
349,nan
350,nan
351,nan
352,nan
353,nan
354,nan
355,nan
356,nan
357,nan
358,nan
359,nan
360,nan
361,nan
362,nan
363,nan
364,nan
365,nan
366,nan
367,nan
368,nan
369,nan
370,nan
371,nan
372,nan
373,nan
374,nan
375,nan
376,nan
377,nan
378,nan
379,nan
380,nan
381,nan
382,nan
383,nan
384,nan
385,nan
386,nan
387,nan
388,nan
389,nan
390,nan
391,nan
392,nan
393,nan
394,nan
395,nan
396,nan
397,nan
398,nan
399,nan
400,nan
401,nan
402,nan
403,nan
404,nan
405,nan
406,nan
407,nan
408,nan
409,nan
410,nan
411,nan
412,nan
413,nan
414,nan
415,nan
416,nan
417,nan
418,nan
419,nan
420,nan
421,nan
422,nan
423,nan
424,nan
425,nan
426,nan
427,nan
428,nan
429,nan
430,nan
431,nan
432,nan
433,nan
434,nan
435,nan
436,nan
437,nan
438,nan
439,nan
440,nan
441,nan
442,nan
443,nan
444,nan
445,nan
446,nan
447,nan
448,nan
449,nan
450,nan
451,nan
452,nan
453,nan
454,nan
455,nan
456,nan
457,nan
458,nan
459,nan
460,nan
461,nan
462,nan
463,nan
464,nan
465,nan
466,nan
467,nan
468,nan
469,nan
470,nan
471,nan
472,nan
473,nan
474,nan
475,nan
476,nan
477,nan
478,nan
479,nan
480,nan
481,nan
482,nan
483,nan
484,nan
485,nan
486,nan
487,nan
488,nan
489,nan
490,nan
491,nan
492,nan
493,nan
494,nan
495,nan
496,nan
497,nan
498,nan
499,nan
500,nan
501,nan
502,nan
503,nan
504,nan
505,nan
506,nan
507,nan
508,nan
509,nan
510,nan
511,nan
512,nan
513,nan
514,nan
515,nan
516,nan
517,nan
518,nan
519,nan
520,nan
521,nan
522,nan
523,nan
524,nan
525,nan
526,nan
527,nan
528,nan
529,nan
530,nan
531,nan
532,nan
533,nan
534,nan
535,nan
536,nan
537,nan
538,nan
539,nan
540,nan
541,nan
542,nan
543,nan
544,nan
545,nan
546,nan
547,nan
548,nan
549,nan
550,nan
551,nan
552,nan
553,nan
554,nan
555,nan
556,nan
557,nan
558,nan
559,nan
560,nan
561,nan
562,nan
563,nan
564,nan
565,nan
566,nan
567,nan
568,nan
569,nan
570,nan
571,nan
572,nan
573,nan
574,nan
575,nan
576,nan
577,nan
578,nan
579,nan
580,nan
581,spoiler alert get past page extremely depressing start main character commit suic spoiler alert get past page extremely depressing start main character commit suicide without warning really put story idea library possible life great one get past overly depressive mood see
582,nan
583,nan
584,nan
585,nan
586,nan
587,nan
588,nan
589,nan
590,nan
591,nan
592,nan
593,nan
594,nan
595,nan
596,nan
597,nan
598,nan
599,nan
600,nan
601,nan
602,nan
603,nan
604,nan
605,nan
606,nan
607,nan
608,nan
609,nan
610,nan
611,nan
612,nan
613,nan
614,nan
615,nan
616,nan
617,nan
618,nan
619,nan
620,nan
621,nan
622,nan
623,nan
624,nan
625,nan
626,nan
627,nan
628,nan
629,spoiler alert never huge britney fan hated found annoying pretty peppy spoiler alert never huge britney fan hated found annoying pretty peppy surprised able relate abuse went dysfunctional narcissistic family relationship sister pregnancy loss understood felt minus fame money feel bad obviously exploited medium said horrible able get get conservatorship fyi family muzzle eye opening sad many spotlight seem real foundation especially child star wish much happiness good adventure come life hope freedom finally allows heal fyi listened version audible really helped adhd though love learning struggle get page matter topic
630,nan
631,قراءة سريعة ومسلية
632,كتاب جيد نصائح مفيدة لحياتك اليومية ونصائح أخرى ليست مهمة على الأقل بالنسبة يعيبه طوله الذي لزوم
633,يالها رواية
634,nan
635,nan
636,nan
637,nan
638,nan
639,nan
640,really pulled heartstrings really needed
641,nan
642,fantastic believe discovered fourth wing fantastic believe discovered fourth wing
643,nan
644,nan
645,nan
646,nan
647,nan
648,nan
649,nan
650,amazing finished less one day
651,nan
652,think freida mcfadden like kept struggled put literally picked anyi think freida mcfadden like kept struggled put literally picked moment could
653,nan
654,amazing loved finding difficult get anything else everything else seems mediocre definitely bamazing loved finding difficult get anything else everything else seems mediocre definitely
655,nan
656,nan
657,nan
658,nan
659,nan
660,nan
661,stop much like kafka without integrating character story line disappointing
662,nan
663,nan
664,nan
665,nan
666,nan
667,nan
668,nan
669,nan
670,nan
671,nan
672,nan
673,nan
674,nan
675,nan
676,nan
677,nan
678,nan
679,nan
680,nan
681,nan
682,nan
683,nan
684,nan
685,nan
686,nan
687,nan
688,nan
689,nan
690,nan
691,nan
692,nan
693,nan
694,nan
695,nan
696,nan
697,nan
698,nan
699,nan
700,nan
701,nan
702,nan
703,nan
704,nan
705,nan
706,nan
707,nan
708,nan
709,nan
710,nan
711,nan
712,nan
713,nan
714,nan
715,nan
716,nan
717,nan
718,nan
719,nan
720,nan
721,nan
722,nan
723,nan
724,nan
725,nan
726,nan
727,nan
728,nan
729,nan
730,nan
731,nan
732,nan
733,nan
734,nan
735,nan
736,nan
737,nan
738,nan
739,nan
740,nan
741,nan
742,nan
743,nan
744,nan
745,nan
746,permanent record shed light obscure detail many charge technology data want public know really enjoyed permanent record shed light obscure detail many charge technology data want public know really enjoyed snowden biography reminded curiosity learning exploring technology revelation shared mind blowing first believe deeply entangled government technology giant collecting vast amount data making personal privacy mere myth great
747,well huge need desire felt attracted viewing looking reference rwell huge need desire felt attracted viewing looking reference resource adjust perception life guess spent first part whole life non essentialist started see impact attitude quality destructive decision blocked path chosen past loved enjoyed doped chapter went trough passion trying understand every bit information planted sentence like walkthrough different stage life finally come grasp adopt idea essentialism guess essentialist mind set must person one want live life fullest achieve pursuing less one greatest ever
748,cover many aspect high value complex work also discusses difference shallow work profound work give gthis cover many aspect high value complex work also discusses difference shallow work profound work give great tip insight enter deep work stage efficient tasking throw analysis prediction future come work culture variation work field great recommendation
749,started amazed principle example insight tip instruction presented chapter bwhen started amazed principle example insight tip instruction presented chapter habit behavior change power habit many cover subject tired combine many approach technique principle could ever gather form every recorded triumph eliminated negative bad habit however still struggling negative habit still embedded nervous system body many thing already know subject habit formation hand observed discovered many new thing insight information knew time notice thing try predict impact daily struggle habit really sound like missing piece puzzle also outstanding explanation illustration habit shaped created along history human kind male animal
750,nan
751,nan
752,nan
753,nan
754,nan
755,nan
756,nan
757,nan
758,nan
759,raw beautiful piece art gave small glimpse world different drawn manipulateda raw beautiful piece art gave small glimpse world different drawn manipulated placement text page word choice felt like elevator wanted primary maybe upper secondary grade due gun violence
760,child love illustration jon klassen love seeing familiar face sweet story follows little girl nchildren love illustration jon klassen love seeing familiar face sweet story follows little girl named anabelle discovers box magical yarn wonderful story kindness fun use teaching child make prediction
761,beautifully illustrated demonstrating cause effect story follows little girl inspired musical performance follows beautifully illustrated demonstrating cause effect story follows little girl inspired musical performance follows journey become musician show child teamwork persistence passion work together strive toward
762,nan
763,zach poppy alice find epic quest test strength friendship sneeking middle night chzach poppy alice find epic quest test strength friendship sneeking middle night chased stranger wild river adventure ghost right amount creepy fantastic grade great discussing prediction character change story
764,took great twist turn throughout disconcerting tale
765,jabari passed swim class ready high dive simple sweet conversation shared jabari father lejabari passed swim class ready high dive simple sweet conversation shared jabari father let young know everyone feel scared sometimes okay beautifully illustrated bravery courage perfect aloud first day school many student able relate jabari story prompted great conversation feeling
766,big fan john bad seed super excited get hand message self care super importabeing big fan john bad seed super excited get hand message self care super important everyone understand delivery message felt bit forced lacked humor cute aloud interactive memorable bad seed
767,stumbled upon shopping child immigration immediately intrigued story description given baci stumbled upon shopping child immigration immediately intrigued story description given back cover story follows mia tang charming determined year old recently immigrated united state parent china search better life tang take job managing small motel southern california dream job envisioned hired story break heart make laugh loud great aloud classroom bring good conversation regarding racism immigration classism great
768,immediately drawn beautiful color story reminder sometimes might feel like alone andi immediately drawn beautiful color story reminder sometimes might feel like alone different everyone else however share story reach others may find many commonality thing make others unique different
769,beautifully illustrated one point stop collect could continue aloud childrenthis beautifully illustrated one point stop collect could continue aloud child malala story shared without explicitly showing violence happened making story felt comfortable grade child kid asking really great question turn lead great conversation
770,funny totally kid attention found laughing loud much character dialogue illustration wthis funny totally kid attention found laughing loud much character dialogue illustration fun silly full bold color aloud child prepared play several round rock paper scissors
771,fear sometimes hard move past story illustrates life challenge choose get back upwe fear sometimes hard move past story illustrates life challenge choose get back soar great getting kid talking fear way overcome
772,give small glimpse life american woman stood tall face adversity persisted persisted sendsthis give small glimpse life american woman stood tall face adversity persisted persisted sends great message girl age
773,nan
774,nan
775,nan
776,nan
777,nan
778,nan
779,nan
780,nan
781,well straight real battle single line theory real life
782,nan
783,nan
784,nan
785,nan
786,nan
787,nan
788,nan
789,nan
790,nan
791,nan
792,nan
793,nan
794,get wrong lot fun also many spot heavy editing would helped speed thing lidon get wrong lot fun also many spot heavy editing would helped speed thing like lot spot think take away overall punch final impatient lot section seemed like focusing event emotion thought etc also found plot twist basically way keep character alive felt like bit cop emotionally attached part happy certain character die always feel realistic demon fae know idk fun bit disappointed since standard high based
795,opinion one ended really enjoying last struggled get halfway point maybe jusok opinion one ended really enjoying last struggled get halfway point maybe felt slow start
796,nan
797,nan
798,nan
799,nan
800,nan
801,nan
802,nan
803,nan
804,nan
805,loved thought figured big twist got hit even twist see comingwhat loved thought figured big twist got hit even twist see coming even someone constantly trying guess immersive get many friend raved
806,nan
807,thought would like since seemed good left bit disappointed especially end know know thought would like since seemed good left bit disappointed especially end know know quite immersive felt like got cut feel vindicating also maybe synopsis felt different actual
808,sucked right definitely page turner know like backstory thought really well done particulthis sucked right definitely page turner know like backstory thought really well done particularly loved connection toronto way described part really hard emotionally think lot varying opinion much detail fictional include come sensitive graphic topic given decision include experience part joey life story thought solid attempt cover really tough experience child perspective
809,nan
810,nan
811,nan
812,nan
813,honestly say expecting ending thriller face blindness trope worried would predictablei honestly say expecting ending thriller face blindness trope worried would predictable still caught guard even think twist done twist appear kept hooked whole time even sort hated character definitely worth
814,nan
815,nan
816,nan
817,nan
818,nan
819,nan
820,honestly remember time past year enjoyed much reminded totally gehonestly remember time past year enjoyed much reminded totally getting sucked story character stayed past last night sleep deprived wait start next give detail found one even better first one even sure possible
821,nan
822,nan
823,nan
824,nan
825,nan
826,nan
827,nan
828,nan
829,really wanted love found hard get time sure artist found really wanted love found hard get time sure artist found focus artwork artist technique art history tiresome also found storyline particularly exciting
830,nan
831,nan
832,nan
833,nan
834,nan
835,nan
836,nan
837,nan
838,nan
839,nan
840,nan
841,nan
842,nan
843,nan
844,nan
845,nan
846,nan
847,nan
848,nan
849,nan
850,nan
851,nan
852,nan
853,nan
854,nan
855,nan
856,nan
857,nan
858,nan
859,nan
860,nan
861,nan
862,nan
863,nan
864,nan
865,nan
866,nan
867,doormat heroine going make hero grovel end believe colleen hoover made tate forgivewhy doormat heroine going make hero grovel end believe colleen hoover made tate forgive mile easily beleive colleen hoover considered top romance anything lovely mile tate story disapointed female weak heroine nothing mind appease men
868,knew mmc something shocked everything revealed story engaging despite cliche knew mmc something shocked everything revealed story engaging despite cliche
869,nan
870,nan
871,wow
872,nan
873,nan
874,nan
875,great five full star
876,know many either love much hate much okay lead male anything special heroii know many either love much hate much okay lead male anything special heroine well feel loved killed romance boring star nothing spacial
877,okay believable reason behind hate made difference would still liked story lot goiokay believable reason behind hate made difference would still liked story lot going mc really romance bad story romance nah
878,loved much wanted give full star unfortunately heroine like understand aci loved much wanted give full star unfortunately heroine like understand action would one favorite time nastya likable
879,nan
880,nan
881,nan
882,nan
883,nan
884,nan
885,nan
886,great
887,nan
888,nan
889,nan
890,nan
891,nan
892,nan
893,nan
894,nan
895,nan
896,nan
897,nan
898,nan
899,nan
900,nan
901,nan
902,nan
903,nan
904,spoiler alert beautiful
905,nan
906,nan
907,nan
908,nan
909,nan
910,nan
911,nan
912,nan
913,nan
914,nan
915,nan
916,nan
917,nan
918,nan
919,nan
920,nan
921,nan
922,nan
923,nan
924,nan
925,nan
926,nan
927,nan
928,nan
929,nan
930,nan
931,nan
932,nan
933,nan
934,nan
935,nan
936,nan
937,nan
938,nan
939,nan
940,nan
941,nan
942,nan
943,vile ugly haunting hell ever well executed suppose disgust intentional genuinely kthis vile ugly haunting hell ever well executed suppose disgust intentional genuinely know rate horrified point also prepared wildly repulsive eerie brain live mental image depravity forever somehow still record time despite thinking damn finish say wish delved bit deeper structure society bit think still lot substance left undeveloped favor horror probably ever finally ending
944,nan
945,nan
946,nan
947,nan
948,nan
949,nan
950,nan
951,nan
952,nan
953,nan
954,nan
955,nan
956,nan
957,nan
958,nan
959,nan
960,nan
961,nan
962,nan
963,nan
964,nan
965,nan
966,nan
967,nan
968,nan
969,nan
970,nan
971,nan
972,nan
973,nan
974,nan
975,nan
976,nan
977,nan
978,nan
979,nan
980,nan
981,nan
982,nan
983,nan
984,nan
985,nan
986,nan
987,nan
988,nan
989,nan
990,nan
991,nan
992,nan
993,nan
994,nan
995,nan
996,nan
997,nan
998,nan
999,nan
1000,nan
1001,nan
1002,nan
1003,nan
1004,nan
1005,nan
1006,nan
1007,nan
1008,nan
1009,nan
1010,nan
1011,nan
1012,nan
1013,nan
1014,nan
1015,nan
1016,nan
1017,nan
1018,nan
1019,nan
1020,nan
1021,nan
1022,nan
1023,nan
1024,nan
1025,nan
1026,nan
1027,nan
1028,nan
1029,nan
1030,nan
1031,nan
1032,nan
1033,nan
1034,nan
1035,nan
1036,nan
1037,nan
1038,nan
1039,nan
1040,nan
1041,nan
1042,nan
1043,nan
1044,nan
1045,nan
1046,nan
1047,nan
1048,nan
1049,nan
1050,nan
1051,nan
1052,nan
1053,nan
1054,nan
1055,nan
1056,nan
1057,nan
1058,nan
1059,nan
1060,nan
1061,nan
1062,nan
1063,nan
1064,nan
1065,nan
1066,nan
1067,nan
1068,nan
1069,nan
1070,nan
1071,nan
1072,nan
1073,nan
1074,nan
1075,nan
1076,nan
1077,nan
1078,nan
1079,nan
1080,nan
1081,nan
1082,nan
1083,nan
1084,nan
1085,nan
1086,nan
1087,nan
1088,nan
1089,nan
1090,nan
1091,nan
1092,nan
1093,nan
1094,nan
1095,nan
1096,nan
1097,nan
1098,nan
1099,nan
1100,nan
1101,nan
1102,nan
1103,nan
1104,nan
1105,nan
1106,nan
1107,nan
1108,nan
1109,nan
1110,nan
1111,nan
1112,nan
1113,nan
1114,taunted bookshelf well year finally ready pull begin following bains story bethis taunted bookshelf well year finally ready pull begin following bains story waiting felt ready sure heart wrenching depressing story impoverished alcoholic mother young son perhaps expectation set high never really connected anyone feel character particularly redeeming struggled get one second half especially left wanting story sure exactly would looked like longed something different certainly tragic moment delivered many say overall left feeling bit ambivalent cup tea
1115,nan
1116,nan
1117,nan
1118,nan
1119,nan
1120,nan
1121,could fan ask bleak year mariah given live debut rarity album endless remix eps fabwhat could fan ask bleak year mariah given live debut rarity album endless remix eps fabulous memoir misunderstood sometimes messy road made global superstar five star
1122,nan
1123,wow beautiful caught wonderful surprise time came story unfamiliar expectwow beautiful caught wonderful surprise time came story unfamiliar expect entirely blown away elegant prose poet could grace tumultuous time heart wrenching story poor vietnamese immigrant offer perfect juxtaposition graceful many observation make like quote worth taking moment digest much joy swear lost desperation keep one recommend everyone sure keep copy bookshelf stare beautiful cover revisit story time time simply blew away
1124,minor spoiler ahead overstory like poetry spoken nature must certainly spent time practicing becoming minor spoiler ahead overstory like poetry spoken nature must certainly spent time practicing becoming voice natural world struck natural world specifically tree approach time first page introduce nine main character favorite definitely patricia westerford many story journey family history back year using tree like transition describe passage time able jump decade future feel like significant leap calming nurturing word nature season tree lifecycles introduced main character journey begin slowly connecting short many become eco activist hoping save three percent old growth forest left country lie pacific northwest deforestation enjoyed character learned patricia pioneering forestry scientist make remarkable discovery young researcher decides publish finding tree communicate many different way post publication natural science community completely dismisses even suggesting become unhinged retreat largely lonely life year follow discovery vindicated additional data lead publication insert name remember becomes definitive tree settle role researcher occasional public speaker bringing much greater public awareness forest tree learned much character reverence natural world strong feeling one become nostalgic see bookshelf year come absolutely loved
1125,nan
1126,nan
1127,nan
1128,nan
1129,nan
1130,nan
1131,nan
1132,nan
1133,nan
1134,nan
1135,nan
1136,nan
1137,nan
1138,nan
1139,nan
1140,nan
1141,nan
1142,nan
1143,nan
1144,nan
1145,enjoyed much anticipated picked looking escapist follow heavier recently finished enjoyed much anticipated picked looking escapist follow heavier recently finished story take incredible heartbreaking anxiety inducing journey isolated wilderness alaska short stop pacific northwest extraordinary display love friendship familial romantic good bad throughout entire definitely delivered escape looking
1146,star rounded great believer follow yale procures immensely valuable art exhibit museum aid crisis rav star rounded great believer follow yale procures immensely valuable art exhibit museum aid crisis ravage tight knit gay community chicago story alternate fiona yale friend sister thirty year later search paris estranged daughter absolutely loved part story set chicago successfully depicts devastating loss hopelessness discrimination facing gay community aid epidemic unfolds commend bringing story new generation included experience aid crisis firsthand struggle came present day search fiona long lost adult daughter part story grab attention loved yale world though two storyline eventually connect help wish entire set chicago simply care much fiona storyline comparison yale
1147,nan
1148,nan
1149,nan
1150,nan
1151,nan
1152,nan
1153,nan
1154,nan
1155,nan
1156,nan
1157,nan
1158,nan
1159,nan
1160,nan
1161,nan
1162,nan
1163,loved struggled bit connect one sister love story also would appreciated touch dramai loved struggled bit connect one sister love story also would appreciated touch drama first half still really enjoyed would definitely recommend think exceptionally high expectation based expecting one best ever may factor star rating given thoroughly enjoy second half excellent could put definitely recommend
1164,nan
1165,nan
1166,nan
1167,nan
1168,nan
1169,nan
1170,nan
1171,nan
1172,nan
1173,nan
1174,nan
1175,greati loved artwork use color great introduction origin story raven rachel roth wait rethis greati loved artwork use color great introduction origin story raven rachel roth wait beast boy hope raven teen titan beast boy
1176,nan
1177,nan
1178,nan
1179,nan
1180,nan
1181,nan
1182,nan
1183,nan
1184,nan
1185,nan
1186,nan
1187,nan
1188,nan
1189,nan
1190,nan
1191,nan
1192,nan
1193,nan
1194,nan
1195,nan
1196,nan
1197,nan
1198,nan
1199,nan
1200,nan
1201,nan
1202,nan
1203,nan
1204,nan
1205,nan
1206,nan
1207,nan
1208,nan
1209,nan
1210,nan
1211,nan
1212,nan
1213,nan
1214,nan
1215,nan
1216,nan
1217,nan
1218,nan
1219,nan
1220,nan
1221,nan
1222,nan
1223,nan
1224,nan
1225,nan
1226,nan
1227,nan
1228,nan
1229,nan
1230,nan
1231,nan
1232,nan
1233,nan
1234,nan
1235,nan
1236,nan
1237,nan
1238,nan
1239,nan
1240,nan
1241,nan
1242,nan
1243,nan
1244,nan
1245,nan
1246,nan
1247,nan
1248,nan
1249,nan
1250,nan
1251,nan
1252,nan
1253,thought provokingat first thought kind little found harder put
1254,nan
1255,nan
1256,nan
1257,nan
1258,nan
1259,nan
1260,nan
1261,nan
1262,nan
1263,nan
1264,nan
1265,nan
1266,nan
1267,nan
1268,nan
1269,nan
1270,nan
1271,nan
1272,nan
1273,nan
1274,nan
1275,nan
1276,nan
1277,nan
1278,nan
1279,nan
1280,nan
1281,kindle version missing page loved wish missing page still giving since nothing smy kindle version missing page loved wish missing page still giving since nothing amazon problem
1282,nan
1283,nan
1284,nan
1285,nan
1286,nan
1287,nan
1288,nan
1289,nan
1290,nan
1291,nan
1292,nan
1293,nan
1294,nan
1295,nan
1296,nan
1297,nan
1298,nan
1299,nan
1300,nan
1301,nan
1302,nan
1303,nan
1304,nan
1305,nan
1306,nan
1307,nan
1308,nan
1309,nan
1310,nan
1311,nan
1312,nan
1313,nan
1314,nan
1315,nan
1316,nan
1317,nan
1318,nan
1319,nan
1320,nan
1321,nan
1322,nan
1323,nan
1324,nan
1325,nan
1326,nan
1327,nan
1328,nan
1329,nan
1330,nan
1331,nan
1332,nan
1333,nan
1334,nan
1335,nan
1336,nan
1337,nan
1338,nan
1339,nan
1340,nan
1341,nan
1342,nan
1343,nan
1344,nan
1345,nan
1346,nan
1347,nan
1348,nan
1349,nan
1350,nan
1351,nan
1352,nan
1353,nan
1354,nan
1355,nan
1356,nan
1357,nan
1358,nan
1359,nan
1360,nan
1361,nan
1362,nan
1363,nan
1364,nan
1365,nan
1366,nan
1367,nan
1368,nan
1369,nan
1370,nan
1371,nan
1372,nan
1373,nan
1374,nan
1375,nan
1376,nan
1377,nan
1378,nan
1379,nan
1380,nan
1381,nan
1382,nan
1383,nan
1384,nan
1385,nan
1386,nan
1387,nan
1388,nan
1389,nan
1390,nan
1391,nan
1392,nan
1393,nan
1394,nan
1395,nan
1396,nan
1397,like adventure really simple word sunk really easy felt like completely inside like adventure really simple word sunk really easy felt like completely inside story like breathing one character nose plot really well thought keep new event coming never fails excite
1398,nan
1399,nan
1400,nan
1401,nan
1402,nan
1403,nan
1404,nan
1405,interesting strong relationship anya ghost
1406,nan
1407,nan
1408,nan
1409,nan
1410,nan
1411,nan
1412,nan
1413,nan
1414,nan
1415,nan
1416,nan
1417,nan
1418,nan
1419,nan
1420,nan
1421,nan
1422,nan
1423,nan
1424,nan
1425,nan
1426,nan
1427,nan
1428,nan
1429,nan
1430,nan
1431,nan
1432,nan
1433,nan
1434,nan
1435,nan
1436,nan
1437,nan
1438,nan
1439,nan
1440,nan
1441,nan
1442,nan
1443,nan
1444,nan
1445,nan
1446,nan
1447,nan
1448,nan
1449,nan
1450,nan
1451,nan
1452,nan
1453,nan
1454,nan
1455,nan
1456,nan
1457,nan
1458,nan
1459,nan
1460,nan
1461,nan
1462,nan
1463,nan
1464,nan
1465,nan
1466,nan
1467,nan
1468,nan
1469,nan
1470,nan
1471,nan
1472,nan
1473,nan
1474,nan
1475,nan
1476,nan
1477,nan
1478,nan
1479,nan
1480,nan
1481,nan
1482,nan
1483,nan
1484,nan
1485,nan
1486,nan
1487,nan
1488,nan
1489,nan
1490,nan
1491,nan
1492,nan
1493,nan
1494,nan
1495,nan
1496,nan
1497,nan
1498,nan
1499,nan
1500,nan
1501,nan
1502,nan
1503,nan
1504,nan
1505,nan
1506,nan
1507,nan
1508,nan
1509,nan
1510,nan
1511,nan
1512,nan
1513,nan
1514,nan
1515,nan
1516,nan
1517,nan
1518,nan
1519,nan
1520,nan
1521,nan
1522,nan
1523,nan
1524,nan
1525,nan
1526,nan
1527,nan
1528,nan
1529,nan
1530,nan
1531,nan
1532,nan
1533,nan
1534,nan
1535,nan
1536,nan
1537,nan
1538,nan
1539,nan
1540,nan
1541,nan
1542,nan
1543,nan
1544,nan
1545,nan
1546,nan
1547,nan
1548,nan
1549,nan
1550,nan
1551,nan
1552,nan
1553,amazing non fiction like good could put learned much history inforthis amazing non fiction like good could put learned much history information never knew cannot recommend highly enough
1554,nan
1555,nan
1556,nan
1557,nan
1558,nan
1559,nan
1560,nan
1561,nan
1562,nan
1563,nan
1564,nan
1565,nan
1566,nan
1567,nan
1568,nan
1569,nan
1570,nan
1571,nan
1572,nan
1573,nan
1574,nan
1575,nan
1576,nan
1577,nan
1578,nan
1579,nan
1580,nan
1581,nan
1582,nan
1583,nan
1584,nan
1585,nan
1586,nan
1587,nan
1588,nan
1589,nan
1590,nan
1591,nan
1592,nan
1593,nan
1594,nan
1595,nan
1596,nan
1597,nan
1598,nan
1599,nan
1600,nan
1601,nan
1602,nan
1603,nan
1604,nan
1605,nan
1606,nan
1607,nan
1608,nan
1609,nan
1610,nan
1611,nan
1612,nan
1613,nan
1614,nan
1615,nan
1616,nan
1617,nan
1618,nan
1619,nan
1620,required period well researched like based fact literally gasping breath periodically required period well researched like based fact literally gasping breath periodically close rounded repetition understanding repetition fully bring home horror would ensue nuclear war wwiii ever started world know would end
1621,nan
1622,nan
1623,nan
1624,nan
1625,nan
1626,nan
1627,nan
1628,nan
1629,nan
1630,nan
1631,nan
1632,nan
1633,nan
1634,nan
1635,nan
1636,nan
1637,nan
1638,nan
