,description
55,"vampyre, vampyres, werewolf, misery, alliances, lark, council, bride, romance, surrender, mortal, enemies, alpha, justice, moreland"
56,"lark, soulmate, sunshine, lachlan, songbird, princess, montague, assassin, vow, kane, glitter, broody, marry, singer, haunt"
57,"kennedy, isaiah, kennedyi, vegas, isaiahas, rhodes, married, flirted, warriors, kay, met, leaving, sexist, shortstop, reckless"
58,"sloane, xavier, ambitious, castillo, heir, billionaire, persona, charming, kensington, unless, infuriate, intelligent, matter, clients, laid"
59,"rosie, rose, sparring, ford, parenting, kind, foreplay, hill, verbal, driving, young, sister, heat, wild, belmont"
60,"cinnamon, bun, buns, romance, hazel, mystery, spice, bestseller, bookstore, cozy, attract, café, treasure, scavenger, tiktok"
61,"heirs, divorce, spouse, marrying, penny, inheritance, married, wealth, anna, family, liam, weston, ex, antiquated, green"
62,"lucy, escape, escapes, vacationing, felix, bridget, island, temptation, summer, prince, fortune, promises, oysters, wedding, glorious"
63,"bisexual, theo, estranged, wine, tour, breakup, lovers, exes, bartender, restaurants, transatlantic, apart, paris, crave, bakes"
64,"novel, book, writer, turner, henry, tutor, reading, bestselling, professor, junior, halle, jacobs, club, hills, fail"
65,"screenwriter, emma, writing, write, fiction, yates, rewriting, written, comedies, script, story, romantic, lifetime, charlie, caretaking"
66,"trabajado, como, motivos, conseguido, ciencia, económica, este, atracción, destruirlo, empresas, estar, es, pero, todas, amor"
67,"soledad, trust, barnes, betrayal, goddess, daughters, disillusion, refuses, forever, vinaigrette, catastrophe, saving, ground, ashes, grieve"
68,"ada, ryder, wes, weston, cowboy, woman, ranch, wyoming, girl, finds, hart, career, designer, mystery, place"
69,"romantic, epic, romance, ricki, bloom, enchanted, roses, wilde, dazzling, drama, passionate, stories, glamour, renaissance, jasmine"
70,"novels, helen, writers, writer, author, screenwriter, ending, book, write, shepard, grant, romance, forever, zhang, tragic"
71,"delphie, afterlife, soulmate, deceased, thinking, die, meets, life, magic, reconnect, luck, sparkle, woman, return, door"
72,"leung, rufus, heiress, affair, billionaire, greshambury, martha, gresham, seduce, solène, betray, estate, courcy, scandalous, hawaiian"
73,"midgard, sky, sequel, athalar, book, stranded, house, bestsellers, hunt, breathtaking, asteri, series, sarah, maas, bryce"
74,"evie, villain, kingsley, rennedawn, ominous, treason, evil, overlord, nemesis, boss, king, vulnerable, dagger, lair, manor"
75,"fae, saeris, secrets, realms, sword, myth, kingfisher, fane, undying, powers, queen, nightmares, unforgiving, yvelia, protect"
76,"dragon, dragons, fantasy, raven, author, brimstone, quest, prisoner, wild, magic, king, bestseller, ride, raeve, thrills"
77,"spellbooks, spellshop, spells, bakery, magic, cottage, magically, librarian, book, lush, kiela, garden, sarah, spider, hallmark"
78,"freya, shield, maiden, goddess, norse, kingdom, warrior, gods, fierce, destiny, oath, skaland, bjorn, jarl, binds"
79,"ophelia, phantasma, irresistible, attraction, deadly, fears, contestants, mysterious, overwhelm, challenges, maze, demons, return, life, blackwell"
80,"destiny, fate, kingdom, fae, legion, princesses, darkness, dawns, orphans, battle, victorious, sword, crowns, souls, fantasy"
81,"sera, nyktos, prophecy, fates, obsession, gods, desires, realms, bloodline, faith, mortal, soul, jennifer, fiery, kolis"
82,"hades, persephone, underworld, goddess, burnpersephone, gods, chaos, world, queen, war, darkness, humanity, encounter, spring, forever"
83,"hercules, heros, spartan, spartans, immortal, blood, immortals, myths, achilles, narrators, academy, elite, mentors, sanity, harrowing"
84,"hades, percy, mortals, hunger, gods, mythic, romantasy, jackson, mortal, myth, champion, games, adults, contestant, burn"
85,"dark, fae, slade, fleeing, threat, danger, fantasy, book, realm, end, annwyn, death, beginning, burn, secrets"
86,"rebellion, dacre, tyrant, ruthless, fierce, rebels, reign, despised, loyalty, devotion, threatens, desire, battle, scorching, father"
87,"regner, kingdoms, lorian, king, afraid, unimaginable, god, death, enemies, fae, enslaving, betrayal, stop, yearning, trapped"
88,"fae, sparkle, heir, destiny, romance, lor, aurora, crown, glittering, prince, heart, blood, ouranos, forever, gold"
89,"sea, novels, island, arthur, orphan, fantasy, orphanage, distant, sequel, magical, zoe, house, future, ashes, klune"
90,"luzia, nobility, pérez, magic, fantasy, spain, mistress, inquisition, grishaverse, fortunes, author, amusement, alchemists, endless, ninth"
91,"faeries, faerie, wilde, emily, folklore, folk, realms, picturesque, secrets, adventures, exiled, bambleby, curmudgeonly, wendell, encylopaedia"
92,"novel, book, doors, cassie, books, door, reading, darkness, readers, haunted, mysterious, bookshop, ordinary, adventure, andrews"
93,"disappearances, rafe, novel, narnia, jeremy, chronicles, lost, wardrobes, homecoming, quest, sister, lewis, uncanny, emilie, howell"
94,"nurse, nightingalejanuary, novel, freddie, wounded, laura, traumas, soldier, hauntingly, trenches, whispers, refuge, 1918, iven, hans"
95,"dymitr, crows, folklore, mythical, cursed, witch, monstrous, afflicted, underworld, ala, baba, jaga, fern, fear, zmora"
96,"ganymedes, concordia, heir, piscero, emperor, voyage, agatha, ship, crusade, goddess, shores, tiktok, survival, provinces, blessing"
97,"travel, expedition, exploration, time, commander, novel, expat, thriller, gore, bradley, future, bridge, ministry, 1847, disoriented"
98,"virtual, vr, parenthood, families, virtually, couples, reality, tv, children, marriage, metaverse, novel, act, ultimate, tamagotchi"
99,"annie, intelligence, artificial, bot, doug, relationship, paradox, human, desires, behaves, emotional, cute, does, truly, owe"
100,"earth, life, planet, astronauts, humanity, oceans, space, world, typhoon, scientific, meteorological, fears, seasons, glaciers, cycling"
101,"wilderness, birch, lakes, novel, snow, hunters, apocalyptic, harvesters, land, trees, starving, indigenous, evan, moon, nangohns"
102,"odile, novel, literary, future, speculative, edme, futuresixteen, mourning, wilderness, towns, conseil, endless, realizes, visitors, borders"
103,"novel, helene, adina, bertino, extraterrestrial, earthlings, beautyland, giorno, voyager, marie, arrival, life, exile, born, existence"
104,"reveals, secret, mysterious, forgotten, coast, shadowy, speculative, explored, stakes, threat, priority, agent, mind, meddling, files"
105,"shades, color, eddie, violet, dickens, purples, emerald, segregated, marriages, chromatacia, darkly, russett, author, embellished, societal"
106,"box, thriller, anxiety, terror, author, darkly, transport, stranger, road, woman, cash, modern, truth, plunge, america"
107,"blueprint, novel, resilience, injustice, biography, autonomy, solace, bonet, bastien, guide, henriette, society, seeking, solenne, bond"
108,"ocean, exploration, exploring, novel, leigh, trench, undersea, atlantic, journey, globe, discovery, lost, microbiologist, deeply, embark"
109,"haunting, ghostly, house, haunt, novel, movie, unsettling, macabre, family, visiting, charlie, strangers, presence, unexpectedly, eve"
110,"murders, haunted, hitchhiker, supernatural, novel, suspects, eddie, deserted, atticus, falls, coldlake, gruesome, witnesses, road, unexplained"
111,"ji, crying, killer, distraught, victims, eyes, umma, unraveling, korean, sister, mart, deserves, affair, george, novel"
112,"haunting, haunted, mommy, bela, tale, novel, house, horror, incidents, grandma, family, horrifying, unraveling, troubled, brink"
113,"amber, tolly, notorious, genre, movie, lamesa, seventeen, stephen, dennison, town, texas, killer, summer, names, slasher"
114,"novels, helen, writers, writer, author, screenwriter, ending, book, write, shepard, grant, romance, forever, zhang, tragic"
115,"travel, expedition, exploration, time, commander, novel, expat, thriller, gore, bradley, future, bridge, ministry, 1847, disoriented"
116,"haunting, ghostly, house, haunt, novel, movie, unsettling, macabre, family, visiting, charlie, strangers, presence, unexpectedly, eve"
117,"novel, book, doors, cassie, books, door, reading, darkness, readers, haunted, mysterious, bookshop, ordinary, adventure, andrews"
118,"martyr, martyrs, cyrus, akbar, iranian, poet, persian, painter, kaveh, art, death, meaning, shams, obsession, heralds"
119,"ganymedes, concordia, heir, piscero, emperor, voyage, agatha, ship, crusade, goddess, shores, tiktok, survival, provinces, blessing"
120,"ji, crying, killer, distraught, victims, eyes, umma, unraveling, korean, sister, mart, deserves, affair, george, novel"
121,"greta, irresistible, bestseller, sister, friendships, buenos, dramas, queerness, valdin, lover, crush, crisis, dumped, meets, bighearted"
122,"malaya, malayan, novel, japanese, daughter, cecily, asia, wwii, eldest, fuijwara, jujube, invading, tea, spy, angrier"
123,"daphne, novel, miles, emily, stranded, minutes, scruffy, adventures, hours, solace, met, petra, tenuous, chaotic, waning"
124,"heroine, frankie, novel, portrait, war, intimate, vietnam, courage, betrayal, veteran, nursing, friendships, meets, deep, frances"
125,"lucy, podcast, murdered, listen, savvy, rumors, audio, crime, truth, night, dream, thought, la, ring, ben"
126,"sea, novels, island, arthur, orphan, fantasy, orphanage, distant, sequel, magical, zoe, house, future, ashes, klune"
127,"evie, reese, porter, picket, book, club, ryan, sumner, learns, fence, bestsellerevie, town, pick, girl, smith"
128,"finn, huckleberry, huck, raft, jim, river, narrative, jackson, enslaved, mississippi, literature, adventures, island, treasure, storms"
129,"mcmahon, book, bestsellerfrom, wealthy, ordinary, enslaved, americans, aristocrats, poet, characters, teacher, cast, presidents, courage, reunite"
130,"detective, amy, steve, murder, adventure, hours, alive, killer, wheeler, author, days, adrenaline, puzzling, rosie, bag"
131,"memoir, cookbooks, ina, barefoot, author, recipes, contessa, book, garten, adventures, chronicles, instagram, bestselling, life, misadventures"
132,"lisa, presley, minutes, 42, marie, memoir, jackson, hours, story, graceland, born, motherhood, memories, lifelong, extraordinary"
133,"generation, youth, teens, psychologist, smartphones, childhoods, health, haidt, crisis, social, addiction, author, screen, decades, deprivation"
134,"ivan, peter, life, chess, koubek, minutes, grieving, sylvia, relationships, enduring, thirties, rooney, intertwined, intensely, possibility"
135,"passengers, flight, deaths, death, passenger, dies, bride, fate, grief, certainty, appearance, profound, nervous, humorously, jane"
136,"oath, cheney, breached, congressional, presidential, trump, constitution, 2020, election, betrayed, liz, witnessed, attack, investigation, aftermath"
137,"future, zoë, time, june, minutes, befriend, romantic, comedy, wormhole, cast, phone, tina, cell, mikey, afterparty"
138,"malcolm, audiobook, storytelling, book, gladwell, histories, bestsellers, television, podcast, social, publication, mafia, subject, crisis, miami"
139,"reunited, roman, iris, torn, heartbroken, lost, love, war, apart, hearts, memories, correspondence, enemy, lines, deepens"
140,"paedyn, trilogy, kai, battle, duty, desire, fantasy, characters, betrayal, anticipated, destinies, second, tension, sizzling, spicy"
141,"witches, moth, rune, villain, witch, hunter, hunters, treacherous, nights, crimson, vigilante, gideon, fantasy, kristen, ciccarelli"
142,"heir, elfhame, prince, king, oak, jude, imprisoned, reign, queen, guile, looming, holly, betrayal, ending, cardan"
143,"galactic, cytonic, stars, spensa, galaxy, skyward, book, space, forever, series, victory, destruction, humanity, winzik, fall"
144,"belladonna, adalyn, trilogy, blythe, hawthorne, grace, author, readers, thorn, romance, seductive, fairytale, deathly, discovers, ablaze"
145,"alizeh, cyrus, tulan, novel, throne, heir, kingdom, shatter, jinn, tahir, heartbreaking, revenge, leigh, secrets, mercurial"
146,"chrysantha, alessandra, duchess, inheritance, sister, stathos, ambition, grandson, queen, wedding, mysterious, upstage, lecherous, estranged, dies"
147,"heartstopper, nick, love, novel, book, charlie, boys, lgbtq, loved, life, meets, little, alice, moments, fall"
148,"rachel, disappearance, thriller, vanished, reappears, holly, uncover, documentary, mystery, unsolved, dead, crime, witness, unbelievable, bel"
149,"wes, liz, relationship, affection, loves, heart, losing, plan, dealing, tragedy, dream, rom, really, willed, freshman"
150,"fortune, riches, hawthornes, lifetime, games, avery, inheritance, bestselling, chapter, tickets, characters, barnes, saga, dreams, brothers"
151,"finn, autumn, sylvie, jack, love, fate, daughter, heartache, feels, tragedy, heal, truth, books, perspectives, wouldn"
152,"bailey, charlie, dating, flirting, gossiping, drama, fake, behaved, seventeen, acquaintance, insists, deflect, cherry, involves, mix"
153,"secrets, sade, discovers, mystery, rumors, students, elizabeth, investigates, sleeping, tragedies, girl, roommate, persephone, faridah, unholy"
154,"lola, murdered, innocence, mary, drew, police, sheriff, frantic, bruised, teen, passing, night, trust, town, missing"
155,"grieving, poppy, grief, cael, timeless, heal, seventeen, fractured, living, savannah, journey, solace, hockey, spiraled, agrees"
156,"riley, nathan, flirt, flirting, romance, acting, dating, play, nerdy, musical, convinces, crush, teen, dungeons, hijinks"
157,"sadie, emails, email, jean, classmate, valedictorian, wen, romantic, vain, lara, hope, infuriating, tell, irked, obsessed"
158,"arsonist, marlowe, deaths, mansion, 1920s, abandoned, author, accidental, flames, devious, firefighters, mystery, island, stained, maureen"
159,"serena, serenas, blake, sorority, daughter, ella, drinking, glittering, summer, courage, loner, hanging, color, eighteen, trailblazing"
160,"adolescents, childhood, youth, depression, generation, teen, psychological, addiction, loneliness, psychologist, anxiety, health, nonfiction, goodreads, haidt"
161,"millennial, generation, kate, culture, podcaster, pop, nostalgia, maligned, voice, feminism, zeitgeistone, kennedy, aol, spice, hilarious"
162,"convictions, framed, justice, testimony, innocence, innocent, guilty, misconduct, exoneration, prison, criminal, stories, harrowing, victims, suspense"
163,"nuclear, missile, urgency, war, scenario, asteroid, plans, journalist, book, technologies, decisions, risks, investigations, pulitzer, safeguards"
164,"malcolm, epidemics, gladwell, crisis, covid, contagions, television, miami, robbers, social, storytelling, streets, racial, tipping, 1970s"
165,"productivity, achieve, procrastination, accomplish, success, discipline, work, sustainers, burnout, frustration, happier, nobel, inspiring, lasting, ali"
166,"conversations, conversation, supercommunicators, communication, communicators, storytelling, speak, discussion, social, superpower, skills, learn, duhigg, readers, deeply"
167,"gilmore, kelly, emily, actress, jennifer, cast, bishop, dirty, mother, dancing, girl, matriarch, woman, drama, memoir"
168,"sociopathy, sociopath, sociopaths, disorder, empathy, memoir, patric, maligned, personality, mental, guilt, haunted, diagnosis, nothingness, grim"
169,"lisa, marie, presley, book, memoir, jackson, motherhood, riley, memories, extraordinary, story, voices, caring, daughter, deeply"
170,"rupaul, biography, memoir, fame, supermogul, portrait, supermodel, drag, superstar, transformational, self, enduring, queer, revealing, meanings"
171,"memoir, cookbooks, barefoot, author, contessa, garten, ina, adventures, instagram, readers, bestselling, hungry, jeffrey, gift, misadventures"
172,"oath, cheney, breached, congressional, presidential, trump, constitution, 2020, election, betrayed, liz, witnessed, attack, investigation, aftermath"
173,"patriarchy, patriarchal, christians, scripture, tia, wife, lifestyle, memoir, submissive, woman, abuse, harrowing, fundamentalist, levings, exposing"
174,"grief, sloane, suicide, death, friendship, crosley, memoir, suspenseful, poignant, loss, pathos, book, life, philosophy, verve"
175,"cast, celebrity, starred, actor, movie, connery, friday, sean, griffin, carrie, narratives, tom, wolfe, club, didion"
176,"mcmahon, heroism, mighty, extraordinary, americans, enslaved, humanity, book, immigrant, sharon, teacher, praising, historians, small, uncritically"
177,"confederacy, lincoln, 1860, secessionist, slavery, sumter, abraham, victor, fort, charleston, robert, plantation, bitterly, craven, narrative"
178,"humanity, sapiens, information, ai, societies, bible, noah, intelligence, networks, bureaucracy, discoveries, existence, destructive, self, verge"
179,"dorothy, businesswoman, shopgirl, 1930s, fashions, housewife, designers, women, glitz, palace, hothouse, hortense, portrait, innovated, consumption"
180,"voyage, cook, seamanship, expeditions, hawaiians, exploration, captain, 1776, tahitian, author, titanic, hms, colonial, indigenous, joseph"
181,"handmaid, gilead, book, readers, narrators, tale, margaret, isbn, door, sequel, testaments, author, inspiration, inner, atwood"
182,"marianne, connell, rooney, sally, friendship, psychological, school, studying, social, self, confront, shy, housekeeping, straying, prose"
183,"children, shakespeare, dawn, summer, mysterious, strangers, stars, hardships, nesting, presence, trust, joanna, ursa, teale, read"
184,"novel, gleeson, families, francis, doors, anne, brian, marriage, houses, loneliness, nypd, stanhope, lena, yes, bond"
185,"bridget, queenie, diary, novel, woman, jones, newspaper, comfort, living, self, jamaican, white, meets, london, careens"
186,"compassion, novel, love, grace, joy, earth, written, exploration, stunning, revelation, survive, unearths, urgency, masculinity, vuong"
187,"deya, palestinian, novel, isra, arab, palestine, narrative, mother, woman, grandparents, marry, teenager, begins, brooklyn, dark"
188,"amy, nurtured, dream, escape, heart, life, realizes, crisis, encouragement, sleeps, guilt, sophistication, underappreciated, end, single"
189,"olive, elizabeth, kitteridge, strout, grace, prickly, ordinary, confesses, struggles, inspire, empathetic, startle, ruthlessly, wry, unforgettable"
190,"daughters, novel, daughter, multigenerational, widowed, adoption, violet, liza, infidelity, wendy, adolescence, loves, marred, grace, madly"
191,"nina, novel, nieces, tom, strangers, hill, introvert, quirky, beginnings, child, garden, phil, drastic, disaster, flee"
192,"poem, poetry, romantics, poet, novel, fiona, caroline, betrayal, love, feral, siblings, skinner, embrace, rescue, begins"
193,"dress, melody, parenthood, backward, novel, jacqueline, mother, grandparents, ambitions, young, ceremony, poignancy, sewn, moving, evening"
194,"novel, tale, hannigan, story, irish, night, maurice, written, toasts, troubled, hotel, lifetime, lamented, single, promises"
195,"gifted, novel, smart, crystal, ambitious, ambitions, juicy, children, drama, entertaining, families, prestige, relationships, competitiveness, compulsively"
196,"toby, punishing, marriage, emotional, angry, parenting, dating, endured, ex, life, fleishman, liver, rabid, contempt, somewhat"
197,"novel, elio, author, readers, oliver, romances, armie, sensibility, pianist, spellbinding, aciman, timothée, loved, hammer, gifted"
198,"princess, fairy, zee, tale, gentry, ugly, ending, unlikeliest, sister, champions, knight, redemption, redhead, bestselling, gullible"
199,"literary, carole, playwright, portrayal, novel, characters, poetry, shirley, amma, woman, lesbian, booker, daughter, nonbinary, bernardine"
200,"village, toothwort, london, papa, dead, lived, england, mum, woods, families, mysterious, belongs, far, lanny, listening"
201,"alicia, thriller, therapist, patient, art, faber, photographer, uncovering, silent, mystery, tragedy, berenson, woman, forensic, tabloids"
202,"sister, korede, sibling, novel, ayoola, killer, sacrificing, blood, lethal, family, knife, bleach, thicker, dispatched, serial"
203,"nannying, caine, heatherbrae, rowan, agatha, incarceration, suspenseful, house, surveillance, nightmare, luxurious, unravelling, jack, malfunctioning, model"
204,"lost, brothers, book, author, suspenseful, buried, nature, grief, harper, stockman, deeply, dark, dry, outback, cattle"
205,"jess, jessica, sarah, bestseller, wife, deceit, obsessions, attraction, jealousy, anonymous, greer, farris, hiding, morality, subject"
206,"whisper, suspenseful, thriller, whispering, detectives, featherbank, dark, jake, killer, disappearance, pete, alex, frank, prison, preyed"
207,"daughter, murder, frightened, missing, approach, follow, dangerous, home, line, risk, dark, life, runs, beg, commonplace"
208,"jules, ingrid, bartholomew, apartment, disappearance, ghost, escape, facade, mysterious, sitter, hidden, nights, sister, killer, staff"
209,"miracle, novel, thriller, creek, literary, courtroom, submarine, dream, therapeutic, trial, patient, chamber, infertility, kim, exciting"
210,"diana, lucy, family, families, marrying, fate, mother, autopsy, relationships, justice, choose, law, oliver, suicide, turner"
211,"novel, gamache, flooding, floodwaters, rivers, jean, turmoil, louise, vivienne, catastrophic, inspector, québec, realizes, darkens, spring"
212,"libby, secrets, birth, crib, chelsea, families, abandoned, life, cheyne, story, mansion, isbn, police, darkest, rips"
213,"kidnapping, ransom, rachel, kylie, criminals, parents, daughter, victims, moral, abduct, caller, beginning, klein, chain, informing"
214,"kamchatka, siberian, novel, alaska, abducted, russia, mesmerising, disappearance, writer, imagination, peninsula, crime, characters, intense, beauty"
215,"sylvie, suspenseful, sisters, daughter, amy, drama, longing, grandmother, mystery, explores, emerge, secrets, translationit, distraught, lee"
216,"detective, homicide, murder, bosch, thompson, author, investigation, harry, book, ballard, bestselling, lapd, connelly, mentor, steal"
217,"marriage, couple, love, isbn, murder, neighbors, met, away, secrets, dinner, gorgeous, story, keeping, finally, bored"
218,"daisy, billy, bands, dunne, novel, fame, rock, legend, brooding, sixties, jones, sunset, realizes, unforgettable, strip"
219,"nickel, juvenile, elwood, academy, underground, children, turner, school, delinquent, salvation, railroad, hopelessly, narrative, curtis, boy"
220,"huntress, nina, hunter, prey, predator, murderess, hunted, widow, investigator, witches, quinn, kate, jordan, photographer, bomber"
221,"vivian, lily, actress, playhouse, elizabeth, theater, gilbert, fiction, beloved, desire, characters, aunt, 1940s, older, grand"
222,"alice, eleanor, books, author, novel, librarians, woman, marries, self, storytelling, kentucky, margery, refuse, extraordinary, packhorse"
223,"hiram, enslaved, slavers, plantations, wilderness, daring, dancer, water, river, drowns, written, generations, story, walker, idealistic"
224,"mysteries, mystery, river, folklore, granddaughter, thames, storytelling, kidnapped, miracle, dark, richly, novel, housekeeper, families, tapestry"
225,"eleanor, orphan, grace, marie, sisterhood, tale, pam, bestseller, author, woman, betrayal, jenoff, suitcase, photographs, manhattangrace"
226,"estate, house, danny, dutch, siblings, wealth, conroy, maeve, stepmother, investment, lavish, tale, exiled, canny, futures"
227,"siblings, twins, sister, family, children, summer, jessie, blair, kennedy, novel, grandmother, thirteen, kirby, tiger, nantucket"
228,"sea, novel, japanese, divers, jeju, diving, ja, korean, island, female, relationship, mi, 1940s, fierce, children"
229,"anne, choice, ireland, gallagher, independence, overcome, travels, thomas, woman, ashes, childhood, stories, heartbroken, enchanted, adopts"
230,"ji, novel, orphan, finger, ren, mahjong, chinese, folklore, tiger, fates, dance, master, lin, occupation, gruesome"
231,"eliza, ferriday, petersburg, heroine, caroline, streshnayva, lilac, romanov, novel, daughter, varinka, sofya, runaway, fortuneteller, summer"
232,"bethie, changing, jo, jane, woman, lives, settling, tragedies, tomboy, counterculture, passion, unfold, 1950s, rebel, young"
233,"cilka, auschwitz, gulag, vorkuta, klein, sibera, soviet, tattooist, sentenced, woman, survives, old, author, liberated, beauty"
