book
"the great transition, nick fuller googins"
"james potter and the curse of the gatekeeper, g. norman lippert"
"the crown's dog, elise kova"
"ciudad de los ángeles caídos, cassandra clare"
"the rise and fall of d.o.d.o., neal stephenson"
"bichos, miguel torga"
"olivia joules and the overactive imagination, helen fielding"
"tarnished crown, erin watt"
"mythago wood, robert holdstock"
"in the dark, monica murphy"
"outcast of redwall, brian jacques"
"just one night, gayle forman"
"willing captive, belle aurora"
"skeleton crew, stephen king"
"pushing ice, alastair reynolds"
"the lady of the sorrows, cecilia dart-thornton"
"double identity, margaret peterson haddix"
"my dearest enemy, connie brockway"
"good material, dolly alderton"
"the saturday night supper club, carla laureano"
"the arrangement 8, h.m. ward"
"saga, volume 5, brian k. vaughan"
"gone country, lorelei james"
"into the forest, jean hegland"
"the last olympian, rick riordan"
"ruthless vows, rebecca ross"
"złodziej dusz, aneta jadowska"
"the secret life of josephine, carolly erickson"
"prisoners, tui t. sutherland"
"hook, lilly atlas"
"oh god not again!, sarah1281"
"the fairy godmother, mercedes lackey"
"marie antoinette, serial killer, katie alender"
"the isle of blood, rick yancey"
"fade out, rachel caine"
"the lies we told, diane chamberlain"
"malice, lisa jackson"
"the haven, suzanne woods fisher"
"slated, teri terry"
"demon ember, m.j. haag"
"code of the clans, erin hunter"
"circle of bones, christine kling"
"cleopatra and frankenstein, coco mellors"
"shifter's shadow, ella summers"
"sacred sins, nora roberts"
"la canzone di achille, madeline miller"
"honey girl, morgan rogers"
"blood of the fold, terry goodkind"
"questionable content, vol. 1, jeph jacques"
"she tempts the duke, lorraine heath"
"within my heart, tamera alexander"
"nine women, one dress, jane l. rosen"
"the book of life, deborah harkness"
"taking what he wants, jordan silver"
"the alchemists of loom, elise kova"
"where the dead walk, john bowen"
"l8r, g8r, lauren myracle"
"one silent night, sherrilyn kenyon"
"the first wife, erica spindler"
"the ice queen, alice hoffman"
"judgement day, terry pratchett"
"the off season, catherine gilbert murdock"
"birthmarked, caragh m. o'brien"
"winter street, elin hilderbrand"
"pirates!, celia rees"
"taking turns, m.k. czerwiec"
"sea of tranquility, emily st. john mandel"
"take a chance, abbi glines"
"away from the dark, aleatha romig"
"until fountain bridge, samantha young"
"paint it black, janet fitch"
"killing commendatore, haruki murakami"
"invincible, vol. 8, robert kirkman"
"committed, elizabeth gilbert"
"the healer's apprentice, melanie dickerson"
"the sandcastle girls, chris bohjalian"
"ldk 1, ayu watanabe"
"pure, julianna baggott"
"the time between, karen white"
"how to catch a wild viscount, tessa dare"
"angel, james patterson"
"any day now, robyn carr"
"escorted, claire kent"
"a spell of trouble, leighann dobbs"
"the great and secret show, clive barker"
"space opera, catherynne m. valente"
"trouble, samantha towle"
"footfall, larry niven"
"morgan's surprise, jayne rylon"
"my brother's keeper, alanea alder"
"the law of moses, amy harmon"
"wenn du dich traust, kira gembri"
"the sculptor, scott mccloud"
"an acceptable time, madeleine l'engle"
"red prophet, orson scott card"
"the 7½ deaths of evelyn hardcastle, stuart turton"
"lady jayne disappears, joanna davidson politano"
"adam, jacquelyn frank"
"skybreaker, kenneth oppel"
"even in paradise, chelsey philpot"
"glorious appearing, tim lahaye"
"night world, no. 1, l.j. smith"
"the player, k. bromberg"
"stolen, lucy christopher"
"pretty guardian sailor moon, vol. 10, naoko takeuchi"
"super-cannes, j.g. ballard"
"lords and ladies, terry pratchett"
"invincible, sherrilyn kenyon"
"alice's adventures in wonderland & other stories, lewis carroll"
"the palace of dreams, ismail kadare"
"paula, isabel allende"
"darkness, kindled, samantha young"
"percy jackson and the last olympian, rick riordan"
"without merit, colleen hoover"
"the dirty book club, lisi harrison"
"the sister of the south, emily rodda"
"tris's book, tamora pierce"
"the design, r.s. grey"
"daughter of deceit, victoria holt"
"beren and lúthien, j.r.r. tolkien"
"our wives under the sea, julia armfield"
"l'appel de l'ange, guillaume musso"
"blue wide sky, inglath cooper"
"never let me go, kazuo ishiguro"
"clean, alex hughes"
"torn, amanda hocking"
"bring the jubilee, ward moore"
"every last kiss, courtney cole"
"ship of magic, robin hobb"
"haunted on bourbon street, deanna chase"
"forever..., jude deveraux"
"an offer from a gentleman, julia quinn"
"the ruby princess sees a ghost, jahnna n. malcolm"
"live free or die, john ringo"
"spirits in the trees, morgan hannah macdonald"
"endless knight, kresley cole"
"velvet, temple west"
"day of the oprichnik, vladimir sorokin"
"his alone, alexa riley"
"two alone, sandra brown"
"when i was invisible, dorothy koomson"
"rachel's holiday, marian keyes"
"woken furies, richard k. morgan"
"the hanged man, francesca lia block"
"lord of the vampires, gena showalter"
"love's sacred song, mesu andrews"
"release!, j.s. scott"
"hyperion, dan simmons"
"the scarlet lion, elizabeth chadwick"
"ryan hunter, piper shelly"
"serpent mage, margaret weis"
"inkmistress, audrey coulthurst"
"the sleeping beauty, trina schart hyman"
"warlord, elizabeth vaughan"
"breakthrough, michael c. grumley"
"jitterbug perfume, tom robbins"
"seeing red, patty jansen"
"romiette and julio, sharon m. draper"
"a lowcountry wedding, mary alice monroe"
"revealed, p.c. cast"
"the sunbearer trials, aiden thomas"
"doctor strange, brian k. vaughan"
"womanizer, katy evans"
"dear mr. knightley, katherine reay"
"becoming a legend, sarah robinson"
"darkness haunts, susan illene"
"death of a mad hatter, jenn mckinlay"
"blessings, belva plain"
"rattlesnake, kim fielding"
"the celery stalks at midnight, james howe"
"once upon a summer, janette oke"
"black lies, alessandra torre"
"il deserto dei tartari, dino buzzati"
"vendetta, fern michaels"
"het leven van pi, yann martel"
"doctor who, james goss"
"close to you, kristen proby"
"lipstick jungle, candace bushnell"
"the great zoo of china, matthew reilly"
"down among the sticks and bones, seanan mcguire"
"it happened one wedding, julie james"
"paper hearts, ali novak"
"vox, christina dalcher"
"wildfire, hannah grace"
"wednesday night witches, lee nichols"
"uncle montague's tales of terror, chris priestley"
"mr. commitment, mike gayle"
"dark fire, christine feehan"
"the lost wife, alyson richman"
"poison, bridget zinn"
"dragon pearl, yoon ha lee"
"the battlemage, taran matharu"
"see you yesterday, rachel lynn solomon"
"how to twist a dragon's tale, cressida cowell"
"christmas on primrose hill, karen swan"
"sixteenth summer, michelle dalton"
"spirited, c.m. stunich"
"furious gulf, gregory benford"
"the sea beast takes a lover, michael andreasen"
"the case for jamie, brittany cavallaro"
"the devil's advocate, andrew neiderman"
"reapers, marata eros"
"fortune, erica spindler"
"swallowing darkness, laurell k. hamilton"
"lift and separate, marilyn simon rothstein"
"how to speak dragonese, cressida cowell"
"higher love, alexandria house"
"aftertime, sophie littlefield"
"beach house for rent, mary alice monroe"
"vision in silver, anne bishop"
"exile's honor, mercedes lackey"
"bambi, felix salten"
"the green mile, stephen king"
"doctor who, jacqueline rayner"
"animal farm, george orwell"
"anthropology of an american girl, hilary thayer hamann"
"rival, penelope douglas"
"fruits basket collector's edition, vol. 4, natsuki takaya"
"kiss me while i sleep, linda howard"
"a local habitation, seanan mcguire"
"ghost fleet, p.w. singer"
"sharp ends, joe abercrombie"
"this side of paradise, f. scott fitzgerald"
"alice in wonderland & through the looking glass, lewis carroll"
"hikaru no go, vol. 2, yumi hotta"
"the little engine that could, watty piper"
"unbound, cat miller"
"women & children first, gill paul"
"the viscount who lived down the lane, elizabeth boyle"
"a house with good bones, t. kingfisher"
"falling free, lois mcmaster bujold"
"shattered souls, mary lindsey"
"the forbidden game, l.j. smith"
"the mirror, marlys millhiser"
"the confession, penny reid"
"shugo chara!, vol. 2, peach-pit"
"the last kingdom, bernard cornwell"
"el fantasma de canterville, oscar wilde"
"perfect formation, k.b. alan"
"the upside of falling down, rebekah crane"
"the uncensored picture of dorian gray, oscar wilde"
"intruder, c.j. cherryh"
"comanche moon, catherine anderson"
"dreamer's pool, juliet marillier"
"the one that i want, allison winn scotch"
"best staged plans, claire cook"
"under the pendulum sun, jeannette ng"
"in ashes lie, marie brennan"
"apocalypse z, manel loureiro"
"bold, mike shepherd"
"the bride says no, cathy maxwell"
"avenged, amy tintera"
"canción de navidad, charles dickens"
"major pettigrew's last stand, helen simonson"
"the summer hideaway, susan wiggs"
"lord of ice, gaelen foley"
"ember, jessica sorensen"
"unhallowed ground, heather graham"
"dragonflight, anne mccaffrey"
"tonight on the titanic, mary pope osborne"
"the morganville vampires, volume 1, rachel caine"
"standoff, sandra brown"
"the crow, james o'barr"
"her baseborn bridegroom, alice coldbreath"
"love takes wing, janette oke"
"the law of attraction, n.m. silber"
"the passage, justin cronin"
"moonrise, erin hunter"
"the good man jesus and the scoundrel christ, philip pullman"
"the roar, emma clayton"
"tuck everlasting, natalie babbitt"
"bleach, volume 06, tite kubo"
"dawn at emberwilde, sarah e. ladd"
"the explosionist, jenny davidson"
"reckless magic, rachel higginson"
"buddha's little finger, victor pelevin"
"the faraway paladin, kanata yanagino"
"never less than a lady, mary jo putney"
"the 13½ lives of captain bluebear, walter moers"
"one summer, nora roberts"
"the secret life of walter mitty, james thurber"
"deeper, roderick gordon"
"soulmates, holly bourne"
"the pandora principle, carolyn clowes"
"de engelenmaker, stefan brijs"
"arrow's flight, mercedes lackey"
"the summer wives, beatriz williams"
"into the gauntlet, margaret peterson haddix"
"the little old lady who was not afraid of anything, linda williams"
"fool's fate, robin hobb"
"demonglass, rachel hawkins"
"conrad's fate, diana wynne jones"
"star wars, troy denning"
"annihilation, philip athans"
"the time thief, linda buckley-archer"
"i wish you were mine, lauren layne"
"harry james potter-evans-verres and the methods of rationality, eliezer yudkowsky"
"england's perfect hero, suzanne enoch"
"finding it, cora carmack"
"queen of babble gets hitched, meg cabot"
"obligation, aurora rose reynolds"
"nélküled, laura leiner"
"the paper menagerie and other stories, ken liu"
"dirty filthy rich love, laurelin paige"
"ring shout, p. djèlí clark"
"runaways, brian k. vaughan"
"london's perfect scoundrel, suzanne enoch"
"the one plus one, jojo moyes"
"ransom, julie garwood"
"pieces of you, cassia leo"
"untamed, a.g. howard"
"oblivion ii, jennifer l. armentrout"
"the lost scrolls, michael teitelbaum"
"elven star, margaret weis"
"eat, pray, die, chelsea field"
"forget-her-nots, amy brecount white"
"absent in the spring, mary westmacott"
"twice tempted, jeaniene frost"
"a matter of blood, sarah pinborough"
"the princess bride, william goldman"
"el resplandor, stephen king"
"fushigi yûgi, yuu watase"
"obsidian, laurann dohner"
"the luminous dead, caitlin starling"
"the better part of valor, tanya huff"
"grave surprise, charlaine harris"
"the league of extraordinary gentlemen, vol. 2, alan moore"
"destination, a.e. van vogt"
"fairest, chanda hahn"
"the city and the stars, arthur c. clarke"
"follow the stars home, luanne rice"
"the taking, kimberly derting"
"mad honey, jodi picoult"
"the princess of egypt must die, stephanie dray"
"the well of ascension, brandon sanderson"
"a bride for tom, ruth ann nordin"
"the hawkline monster, richard brautigan"
"miss me not, tiffany king"
"the people of paper, salvador plascencia"
"sati, christopher pike"
"the redemption of ajax, trinity faegen"
"venus in furs, leopold von sacher-masoch"
"'til death do us part, amanda quick"
"tigers at twilight, mary pope osborne"
"sister outsider, audre lorde"
"tintentod, cornelia funke"
"un posto nel mondo, fabio volo"
"little bird of heaven, joyce carol oates"
"the boys, volume 10, garth ennis"
"here kitty, kitty!, shelly laurenston"
"planet of the apes, pierre boulle"
"echoes, maeve binchy"
"gridlinked, neal asher"
"highland laddie gone, sharyn mccrumb"
"between me and you, allison winn scotch"
"best friends forever, jennifer weiner"
"undivided, neal shusterman"
"lily and the octopus, steven rowley"
"claymore, vol. 3, norihiro yagi"
"queen of babble in the big city, meg cabot"
"black water, alberto manguel"
"until lilly, aurora rose reynolds"
"on the bright side, i'm now the girlfriend of a sex god, louise rennison"
"purity in death, j.d. robb"
"rain, v.c. andrews"
"the oath of the vayuputras, amish tripathi"
"the seven deadly sins, vol. 2, nakaba suzuki"
"city of dragons, robin hobb"
"the proposition, katie ashley"
"tempest rising, tracy deebs"
"conversion, s.c. stephens"
"finale, becca fitzpatrick"
"poor little bitch girl, jackie collins"
"the mourning after, rochelle b. weinstein"
"off sides, sawyer bennett"
"untold, sarah rees brennan"
"find me, romily bernard"
"secrets of the tulip sisters, susan mallery"
"the dangerous days of daniel x, james patterson"
"days of blood & starlight, laini taylor"
"until the end of the world, sarah lyons fleming"
"the streets of ankh-morpork, terry pratchett"
"star wars, karen miller"
"buy me, sir, jade west"
"the savage grace, bree despain"
"the boy who sneaks in my bedroom window, kirsty moseley"
"the shadows of grace, david dalglish"
"holy sister, mark lawrence"
"shakespeare's romeo and juliet, michael rosen"
"diggers, terry pratchett"
"my hero academia, vol. 7, kohei horikoshi"
"the eternal dawn, christopher pike"
"the iron king, maurice druon"
"gabriela, clavo y canela, jorge amado"
"a gift of dragons, anne mccaffrey"
"beast, pepper pace"
"georgiana darcy's diary, anna elliott"
"the visitor, sheri s. tepper"
"the billionaire takes all, j.s. scott"
"witch baby, francesca lia block"
"eva's treetop festival, rebecca elliott"
"darkest night, erin hunter"
"a christmas carol and other christmas writings, charles dickens"
"sea monster!, jordan quinn"
"naruto, vol. 12, masashi kishimoto"
"a modern witch, debora geary"
"the mortal instruments boxed set, cassandra clare"
"a lady and her magic, tammy falkner"
"dirty together, meghan march"
"starstruck, l.a. witt"
"april lady, georgette heyer"
"dragon spear, jessica day george"
"the locket, richard paul evans"
"harry potter i czara ognia, j.k. rowling"
"el aleph, jorge luis borges"
"that part was true, deborah mckinlay"
"collateral damage, fern michaels"
"shadowed, dani pettrey"
"neil gaiman/chris riddell 3-book box set, neil gaiman"
"the art of deception, nora roberts"
"burning wild, christine feehan"
"chef's kiss, jarrett melendez"
"state of fear, michael crichton"
"eternal eden, nicole williams"
"die wanderhure, iny lorentz"
"once upon a broken heart, stephanie garber"
"here on earth, alice hoffman"
"the mirror thief, martin seay"
"the lemon grove, helen walsh"
"one to hold, tia louise"
"vampires are forever, lynsay sands"
"nothing to fear, karen rose"
"hallowed, cynthia hand"
"magic in the shadows, devon monk"
"królowa cieni, sarah j. maas"
"fruits basket, vol. 16, natsuki takaya"
"the transall saga, gary paulsen"
"the mane attraction, shelly laurenston"
"the keeper, suzanne woods fisher"
"death, taxes, and peach sangria, diane kelly"
"gargoyle's mate, nia k. foxx"
"savvy, ingrid law"
"like no other, una lamarche"
"a song of wraiths and ruin, roseanne a. brown"
"the reckoning, sharon kay penman"
"take the lead, alexis daria"
"wild montana sky, debra holland"
"the demigod files, rick riordan"
"rapunzel, jacob grimm"
"my fair gentleman, nancy campbell allen"
"target practice, mike maihack"
"once a thief, kay hooper"
"cosmic, frank cottrell boyce"
"the vision, jessica sorensen"
"the truth machine, james l. halperin"
"crossfire boxed set, sylvia day"
"the claw of the conciliator, gene wolfe"
"nächstes jahr am selben tag, colleen hoover"
"we should hang out sometime, josh sundquist"
"italian folktales, italo calvino"
"dancing in my nuddy-pants, louise rennison"
"mr. perfect, j.a. huss"
"the fallen kingdom, elizabeth may"
"elizabeth's wolf, lora leigh"
"bound to shadows, keri arthur"
"proxima, stephen baxter"
"doctor who, robbie morrison"
"swat team seven, dixie lynn dwyer"
"tiger lily, jodi lynn anderson"
"masters at arms & nobody's angel, kallypso masters"
"victorious, m.s. force"
"through the killing glass, mainak dhar"
"drive, james s.a. corey"
"the war hound and the world's pain, michael moorcock"
"the unbearable lightness of being, milan kundera"
"page, tamora pierce"
"divided we fall, trent reedy"
"soul meaning, a.d. starrling"
"shadowfever, karen marie moning"
"beautiful beginning, christina lauren"
"snipped in the bud, kate collins"
"die achse meiner welt, dani atkins"
"hidden currents, christine feehan"
"to say nothing of the dog, connie willis"
"second chance boyfriend, monica murphy"
"spirit ascendancy, e.e. holmes"
"dead reckoning, charlaine harris"
"wildlife, fiona wood"
"kade's turn, tiffany snow"
"the lion, the witch and the wardrobe, robin lawrie"
"der nachtzirkus, erin morgenstern"
"desire, louise bagshawe"
"stormfire, christine monson"
"if i stay, gayle forman"
"cutters vs. jocks, elizabeth marx"
"the curfew, jesse ball"
"midnight awakening, lara adrian"
"the seventh horse and other tales, leonora carrington"
"fall of ruin and wrath, jennifer l. armentrout"
"the color of secrets, lindsay ashford"
"maurice, e.m. forster"
"the pride of the peacock, victoria holt"
"love stage!!, vol. 7, eiki eiki"
"destiny's road, larry niven"
"when you reach me, rebecca stead"
"the gathering storm, robin bridges"
"vampires of el norte, isabel cañas"
"deep and dark and dangerous, mary downing hahn"
"the fold, peter clines"
"ten things we did, sarah mlynowski"
"a bite to remember, lynsay sands"
"skysworn, will wight"
"ink reunited, carrie ann ryan"
"nowy wspaniały świat, aldous huxley"
"foundation, isaac asimov"
"goodhouse, peyton marshall"
"chocolat, joanne harris"
"ronia, the robber's daughter, astrid lindgren"
"ethan frome, edith wharton"
"sparks rise, alexandra bracken"
"survive, alex morel"
"la casa degli spiriti, isabel allende"
"one less problem without you, beth harbison"
"the physick book of deliverance dane, katherine howe"
"red, ted dekker"
"coming in from the cold, sarina bowen"
"soon, jerry b. jenkins"
"middlegame, seanan mcguire"
"happily ever ninja, penny reid"
"the billionaire's inconvenient obsession, nadia lee*"
"raw, belle aurora"
"romancing daphne, sarah m. eden"
"beard in waiting, penny reid"
"baśniobór, brandon mull"
"michal, jill eileen smith"
"shadow souls, l.j. smith"
"shelter me, juliette fay"
"take three, karen kingsbury"
"the dangerous art of blending in, angelo surmelis"
"the spiderwick chronicles, tony diterlizzi"
"supernaturally, kiersten white"
"year zero, rob reid"
"nice girls don't have fangs, molly harper"
"enna burning, shannon hale"
"the philosopher kings, jo walton"
"fear me, b.b. reid"
"pumpkinheads, rainbow rowell"
"rebecca, daphne du maurier"
"a summer affair, elin hilderbrand"
"the memory of us, camille di maio"
"1984, sparknotes"
"phoenix rising, pip ballantine"
"the red, tiffany reisz"
"girls' night in, lauren henderson"
"a princess of mars, edgar rice burroughs"
"just a bit unhealthy, alessandra hazard"
"the inventor's secret, chad morris"
"crow's row, julie hockley"
"worked up, tessa bailey"
"birthday, meredith russo"
"the wolf gift, anne rice"
"wind/pinball, haruki murakami"
"american prince, sierra simone"
"lumberjack, jenika snow"
"the midnight star, marie lu"
"the monsters of templeton, lauren groff"
"walkaway, cory doctorow"
"necroscope, brian lumley"
"pandemic, scott sigler"
"in the shadow of blackbirds, cat winters"
"shadowland, jenny carroll"
"beautiful bitch, christina lauren"
"open house, jill mansell"
"24690, a.a. dark"
"devils' line vol. 2, ryo hanada"
"the glassblower, petra durst-benning"
"kamisama kiss, vol. 5, julietta suzuki"
"love & luck, jenna evans welch"
"la voz de archer, mia sheridan"
"storybound, marissa burt"
"harbored by the seal, amy gamet"
"carpe jugulum, terry pratchett"
"everything we keep, kerry lonsdale"
"demon thief, darren shan"
"calling a wolf a wolf, kaveh akbar"
"the divide, nicholas evans"
"violet & claire, francesca lia block"
"the merciless, danielle vega"
"sacrificial magic, stacia kane"
"the gruffalo, julia donaldson"
"the soul mate, kendall ryan"
"ace of shades, amanda foody"
"the infinity gauntlet, jim starlin"
"candlelight christmas, susan wiggs"
"the bronze key, holly black"
"the kissing booth, beth reekles"
"specials, scott westerfeld"
"the bromeliad trilogy, terry pratchett"
"the road to paradise island, victoria holt"
"long live the queen, kate locke"
"cursed, marissa meyer"
"patternmaster, octavia e. butler"
"summer sons, lee mandelo"
"for time & eternity, allison pittman"
"the howling ghost, christopher pike"
"thirst no. 1, christopher pike"
"up to me, m. leighton"
"the art of keeping secrets, patti callahan henry"
"the fall of hyperion, dan simmons"
"a little life, hanya yanagihara"
"interim goddess of love, mina v. esguerra"
"kitty's house of horrors, carrie vaughn"
"royal assassin, robin hobb"
"a gift for kit, nalini singh"
"saving liberty, helena newbury"
"spying in high heels, gemma halliday"
"evermore, alyson noel"
"magic street, orson scott card"
"the road to dune, frank herbert"
"worth the fall, claudia connor"
"the darkness dwellers, kirsten miller"
"rise of the earth dragon, tracey west"
"the omen, david seltzer"
"sweet filthy morning after, christina lauren"
"the keeper of lost things, ruth hogan"
"delivery, diana prusik"
"a galaxy unknown, thomas deprima"
"beowulf and the fight at finnsburgh, unknown"
"voyage of the damned, frances white"
"sandman slim, richard kadrey"
"whispers of shadow & flame, l. penelope"
"dearest clementine, lex martin"
"vidas secas, graciliano ramos"
"revelation, kate brian"
"the owl killers, karen maitland"
"gravity, dannika dark"
"bleach, vol. 48, tite kubo"
"honor among thieves, rachel caine"
"unholy war, david hair"
"brighter than the sun, julia quinn"
"ciudad del fuego celestial, cassandra clare"
"the winner's kiss, marie rutkoski"
"odd and the frost giants, neil gaiman"
"the most wanted, jacquelyn mitchard"
"translation state, ann leckie"
"letters to the lost, iona grey"
"the sigh, marjane satrapi"
"last chance saloon, marian keyes"
"at all costs, david weber"
"night in eden, candice proctor"
"the sherbrooke bride, catherine coulter"
"unexplored, anna hackett"
"marigolds and murder, london lovett"
"the last twilight, marjorie m. liu"
"the last battle, c.s. lewis"
"orphan star, alan dean foster"
"it had to be you, jill shalvis"
"article 5, kristen simmons"
"like gravity, julie johnson"
"across the universe, beth revis"
"helpful paws, elyse night"
"entreat me, grace draven"
"three to get deadly, janet evanovich"
"age of swords, michael j. sullivan"
"the people's queen, vanora bennett"
"the complete sookie stackhouse stories, charlaine harris"
"if i could turn back time, beth harbison"
"gifts, brynne asher"
"daring to dream, nora roberts"
"things we never said, nick alexander"
"suvashun, simin daneshvar"
"the unwritten, vol. 4, mike carey"
"the aviator's wife, melanie benjamin"
"if you only knew, kristan higgins"
"que serais-je sans toi?, guillaume musso"
"the devouring, simon holt"
"ride the fire, pamela clare"
"the spirit ring, lois mcmaster bujold"
"fallen beauty, erika robuck"
"akira, vol. 3, katsuhiro otomo"
"the nose, nikolai gogol"
"the sixth station, linda stasi"
"hunger, michael grant"
"pet sematary, stephen king"
"danny the champion of the world, roald dahl"
"breaking him, r.k. lilley"
"killobyte, piers anthony"
"feral sins, suzanne wright"
"witches of east end, melissa de la cruz"
"cinder, marissa meyer"
"an eye for an eye, malorie blackman"
"tangled webs, anne bishop"
"the complete clive barker's the great and secret show, chris ryall"
"catalyst, michael c. grumley"
"looking for alibrandi, melina marchetta"
"heather's gift, lora leigh"
"stone mattress, margaret atwood"
"gates of paradise, melissa de la cruz"
