Title,Author,Rating,User_id,isbn,num_ratings,avg_rating,num_pages,review,date_started,date_read,date_added,format,date_pub_edition
Damaged Grump,"Snow, Nicole*",5,117995654,,"7,341",4.35,528pp,None,"Feb 09, 2022","Feb 14, 2022","Jan 20, 2022",Kindle Edition,"Jan 19, 2022"
"Forbidden Devil
        (Nashville Devils #1)","Ivers, Melissa*",5,117995654,,"3,748",3.77,294pp,"Holy HotnessForbidden Devil had all the things! A dirty talking possessive hockey player, a forbidden history that cannot come into light, a badass heHoly HotnessForbidden Devil had all the things! A dirty talking possessive hockey player, a forbidden history that cannot come into light, a badass heroine fighting for what she believes in, and all the heat!Buckle up buttercup, because once you start reading this book, you won't put it down!...more","Jan 16, 2022","Jan 24, 2022","Jan 16, 2022",ebook,Jun 2021
"The Worst Guy
        (Vital Signs #2)","Canterbary, Kate*",5,117995654,,"10,773",3.95,378pp,None,not set,"Jan 16, 2022","Jan 16, 2022",Kindle Edition,"Dec 28, 2021"
"Dr. Grant
        (Off-Limits, #2)","Maura, Catharina*",5,117995654,,"19,885",3.79,unknown,None,"Jan 06, 2022","Jan 06, 2022","Jan 06, 2022",ebook,"Aug 13, 2021"
My So-Called Perfect Life,"Berg, KA*",5,117995654,,127,4.21,356pp,None,not set,"Nov 14, 2021","Nov 14, 2021",Kindle Edition,"Oct 02, 2020"
"The Truth
        (Truth or Dare #2)","Landish, Lauren*",5,117995654,,"3,402",4.19,476pp,"Book hangover? No, more like book coma as I roll up into the school drop off line after staying up until 3:00 a.m. to finish this book because it wasBook hangover? No, more like book coma as I roll up into the school drop off line after staying up until 3:00 a.m. to finish this book because it was that flipping good!!A little backstory...Lauren Landish's The Dare is what brought me over to the Romance Genre to begin with, so it only makes sense that The Truth has BLOWN me away!! I've been waiting for Daniel and Tiffany's book, and it does not disappoint!!Daniel is the ultimate Alpha protector, and the moment he sees Tiffany as something other than his daughter's best friends he has to have her...but not until he is carefully weighed all of his options and knows beyond the shadow of a doubt that she is the one for him. Tiffany, on the other hand, has known for years and wants nothing more than Daniel.Forever.When these two come together SPARKS ignite, your Kindle will melt, and you will be up until 3:00 a.m. devouring every word.Lauren is already an amazing storyteller, but couple that with the backstory these two share and the way she entwines their love, and you have a masterpiece.Five stars, add this to your TBR, take time off work, lock your door, do whatever it takes to find time and read this book TODAY!!!!...more",not set,not set,"Nov 04, 2021",Kindle Edition,"Oct 29, 2021"
"Your Dad Will Do
        (A Touch of Taboo, #1)","Robert, Katee*",Invalid rating,117995654,,"48,634",3.61,150pp,None,"Sep 24, 2021","Sep 24, 2021","Sep 24, 2021",Kindle Edition,"Apr 22, 2020"
"Next in Line
        (Wait with Me, #2)","Daws, Amy*",5,117995654,194456523X,"16,428",4.23,344pp,None,"Aug 27, 2021","Aug 28, 2021","Aug 27, 2021",Kindle Edition,"Nov 27, 2018"
"The Grumpy Player Next Door
        (Copper Valley Fireballs, #3)","Grant, Pippa*",Invalid rating,117995654,,"8,802",4.35,380pp,None,"Aug 24, 2021","Aug 25, 2021","Aug 24, 2021",Kindle Edition,"Jul 08, 2021"
"Mari's Mistake
        (Icehome, #10)","Dixon, Ruby*",5,117995654,,"8,008",4.04,262pp,None,"Aug 23, 2021","Jan 13, 2022","Aug 23, 2021",Kindle Edition,"Jul 19, 2020"
"Wait With Me
        (Wait With Me, #1)","Daws, Amy*",5,117995654,1944565132,"30,395",4.06,304pp,None,"Aug 21, 2021","Aug 27, 2021","Aug 21, 2021",Kindle Edition,"Mar 20, 2018"
Perfect Grump,"Snow, Nicole*",5,117995654,,"9,865",4.22,508pp,None,"Aug 19, 2021","Aug 21, 2021","Aug 19, 2021",Kindle Edition,"Aug 17, 2021"
"Penny's Protector
        (Icehome, #9)","Dixon, Ruby*",5,117995654,,"8,870",4.04,232pp,None,"Aug 15, 2021","Aug 23, 2021","Aug 15, 2021",Kindle Edition,"Dec 05, 2019"
"Callie's Catastrophe
        (Icehome, #8)","Dixon, Ruby*",5,117995654,,"9,212",3.87,267pp,None,"Aug 14, 2021","Aug 15, 2021","Aug 14, 2021",Kindle Edition,"Nov 04, 2019"
"Nadine's Champion
        (Icehome, #7)","Dixon, Ruby*",5,117995654,,"9,496",3.99,209pp,None,"Aug 13, 2021","Aug 24, 2021","Aug 13, 2021",Kindle Edition,"Oct 03, 2019"
"Dear Mr. Brody
        (For Him, #3)","Johnson, A.M.*",5,117995654,,"3,171",4.17,288pp,None,"Aug 11, 2021","Aug 11, 2021","Aug 11, 2021",Kindle Edition,"Aug 05, 2021"
One Day Fiance,"Landish, Lauren*",5,117995654,,"5,141",4.26,370pp,"This book! Lauren has done it again! Bad boy grumpy Conner meets sunshine ride-or-die Poppy and sparks fly! And holy wow the SPARKS! But on top of theThis book! Lauren has done it again! Bad boy grumpy Conner meets sunshine ride-or-die Poppy and sparks fly! And holy wow the SPARKS! But on top of the melt your kindle heat these two bring, this story is about staying true to yourself and redemption. And that TWIST!!! Five amazing stars for this Grumpy-Sunshine amazing romance!...more","Aug 09, 2021","Aug 11, 2021","Aug 11, 2021",Kindle Edition,"Aug 02, 2021"
"Morning Glory Milking Farm
        (Cambric Creek, #1)","Nascosta, C.M.*",5,117995654,,"48,276",3.69,252pp,None,"Aug 09, 2021","Aug 09, 2021","Aug 09, 2021",ebook,"Aug 03, 2021"
"All In
        (Complicated Parts, #3)","Jade, Ashley*",5,117995654,,"4,659",4.51,588pp,None,"Aug 05, 2021","Aug 11, 2021","Aug 05, 2021",Kindle Edition,"Aug 05, 2021"
"Devi's Distraction
        (Icehome, #6)","Dixon, Ruby*",5,117995654,,"11,142",4.30,254pp,None,"Jul 28, 2021","Aug 13, 2021","Jul 28, 2021",Kindle Edition,"Apr 29, 2019"
"Hannah's Hero
        (Icehome, #5)","Dixon, Ruby*",5,117995654,,"10,207",3.87,308pp,None,"Jul 27, 2021","Jul 28, 2021","Jul 27, 2021",Kindle Edition,"Apr 04, 2019"
"Angie's Gladiator
        (Icehome, #4)","Dixon, Ruby*",5,117995654,,"11,826",4.09,272pp,None,"Jul 23, 2021","Jul 27, 2021","Jul 23, 2021",Kindle Edition,"Dec 03, 2018"
"Willa's Beast
        (Icehome, #3)","Dixon, Ruby*",5,117995654,,"13,497",3.81,294pp,None,"Jul 23, 2021","Jul 23, 2021","Jul 23, 2021",Kindle Edition,"Oct 05, 2018"
"Ice Planet Honeymoon
        (Ice Planet Barbarians, #1.5, 2.5, 3.5, 4.5)","Dixon, Ruby*",5,117995654,,"2,833",3.73,194pp,None,"Jul 20, 2021","Jul 21, 2021","Jul 20, 2021",Kindle Edition,"Feb 12, 2021"
"Veronica's Dragon
        (Icehome, #2)","Dixon, Ruby*",5,117995654,,"15,021",4.13,282pp,None,not set,"Jul 20, 2021","Jul 20, 2021",Kindle Edition,"May 23, 2018"
"Lauren's Barbarian
        (Icehome, #1)","Dixon, Ruby*",5,117995654,,"17,629",4.03,282pp,None,"Jul 19, 2021","Jul 19, 2021","Jul 19, 2021",Kindle Edition,"Oct 19, 2017"
"Barbarian's Bride
        (Ice Planet Barbarians, #19)","Dixon, Ruby*",5,117995654,,"9,098",4.01,184pp,None,"Jul 18, 2021","Jul 19, 2021","Jul 18, 2021",Kindle Edition,"Feb 12, 2021"
"Barbarian's Treasure
        (Ice Planet Barbarians, #18)","Dixon, Ruby*",5,117995654,,"9,589",3.82,190pp,None,"Jul 12, 2021","Jul 15, 2021","Jul 12, 2021",Kindle Edition,"May 01, 2020"
"Barbarian's Seduction
        (Ice Planet Barbarians, #17)","Dixon, Ruby*",5,117995654,,"11,457",3.97,192pp,None,"Jul 10, 2021","Jul 11, 2021","Jul 10, 2021",Kindle Edition,"Mar 15, 2019"
"Barbarian's Valentine
        (Ice Planet Barbarians, #16.5)","Dixon, Ruby*",5,117995654,,"7,445",3.92,70pp,None,"Jul 10, 2021","Jul 10, 2021","Jul 10, 2021",Kindle Edition,"Feb 11, 2019"
"Barbarian's Beloved
        (Ice Planet Barbarians, #18)","Dixon, Ruby*",5,117995654,,"13,405",3.91,228pp,None,"Jul 09, 2021","Jul 10, 2021","Jul 09, 2021",Kindle Edition,"Feb 07, 2018"
"Love at the Inn
        (Wilkins Harbor, #1)","Cole, Emorie*",5,117995654,,26,3.65,198pp,None,"Jul 08, 2021","Aug 24, 2021","Jul 08, 2021",Kindle Edition,"Mar 16, 2021"
"The Barbarian Before Christmas
        (Ice Planet Barbarians, #15.5)","Dixon, Ruby*",Invalid rating,117995654,,"8,770",3.86,102pp,None,"Jul 08, 2021","Jul 08, 2021","Jul 08, 2021",Kindle Edition,"Dec 09, 2017"
"Barbarian's Tease
        (Ice Planet Barbarians, #16)","Dixon, Ruby*",5,117995654,,"17,973",3.88,250pp,None,"Jul 06, 2021","Jul 08, 2021","Jul 06, 2021",Kindle Edition,"Jul 08, 2017"
"Barbarian's Rescue
        (Ice Planet Barbarians, #14)","Dixon, Ruby*",5,117995654,,"19,092",3.98,238pp,None,"Jul 05, 2021","Jul 06, 2021","Jul 05, 2021",Kindle Edition,"Jun 11, 2017"
"Barbarian's Lady
        (Ice Planet Barbarians, #13)","Dixon, Ruby*",5,117995654,,"20,845",3.97,217pp,None,"Jul 02, 2021","Jul 05, 2021","Jul 02, 2021",Kindle Edition,"Mar 05, 2017"
"Barbarian's Redemption
        (Ice Planet Barbarians, #12)","Dixon, Ruby*",5,117995654,,"22,266",4.06,238pp,None,not set,"Jul 02, 2021","Jul 02, 2021",Kindle Edition,"Feb 06, 2017"
"Barbarian's Choice
        (Ice Planet Barbarians, #11)","Dixon, Ruby*",5,117995654,,"22,465",4.07,228pp,None,"Jun 29, 2021","Jul 02, 2021","Jun 29, 2021",Kindle Edition,"Dec 11, 2016"
"Barbarian's Hope
        (Ice Planet Barbarians, #10)","Dixon, Ruby*",5,117995654,,"24,084",3.89,175pp,None,"Jun 27, 2021","Jun 28, 2021","Jun 27, 2021",Kindle Edition,"Nov 17, 2016"
"Barbarian's Heart
        (Ice Planet Barbarians, #9)","Dixon, Ruby*",5,117995654,,"28,360",3.87,222pp,None,"Jun 23, 2021","Jun 27, 2021","Jun 23, 2021",Kindle Edition,"Oct 12, 2016"
"Barbarian's Taming
        (Ice Planet Barbarians, #8)","Dixon, Ruby*",5,117995654,,"33,211",4.01,243pp,None,"Jun 21, 2021","Jun 22, 2021","Jun 21, 2021",Kindle Edition,"Aug 31, 2016"
"Barbarian's Touch
        (Ice Planet Barbarians, #7)","Dixon, Ruby*",5,117995654,,"36,698",3.96,322pp,None,"Jun 21, 2021","Jun 21, 2021","Jun 21, 2021",Kindle Edition,"Jun 11, 2016"
"Barbarian's Mate
        (Ice Planet Barbarians, #6)","Dixon, Ruby*",5,117995654,,"45,430",3.91,250pp,None,not set,"Jun 21, 2021","Jun 21, 2021",Kindle Edition,"Mar 25, 2016"
"Ice Planet Holiday
        (Ice Planet Barbarians, #4.75)","Dixon, Ruby*",5,117995654,,"24,045",3.79,136pp,None,"Jun 20, 2021","Jun 20, 2021","Jun 20, 2021",Kindle Edition,"Nov 27, 2015"
"Barbarian Mine
        (Ice Planet Barbarians, #4)","Dixon, Ruby*",5,117995654,,"60,958",3.83,184pp,None,"Jun 19, 2021","Jun 20, 2021","Jun 19, 2021",Kindle Edition,"Nov 03, 2015"
"Barbarian Lover
        (Ice Planet Barbarians, #3)","Dixon, Ruby*",5,117995654,,"71,839",3.83,191pp,None,"Jun 18, 2021","Jun 19, 2021","Jun 18, 2021",Kindle Edition,"Aug 28, 2015"
"Barbarian Alien
        (Ice Planet Barbarians, #2)","Dixon, Ruby*",5,117995654,,"97,849",3.74,248pp,None,"Jun 18, 2021","Jun 18, 2021","Jun 18, 2021",Kindle Edition,"Jul 24, 2015"
"Ice Planet Barbarians
        (Ice Planet Barbarians, #1)","Dixon, Ruby*",5,117995654,,"180,449",3.63,188pp,None,"Jun 17, 2021","Jun 18, 2021","Jun 17, 2021",Kindle Edition,"Apr 03, 2015"
The Timid Little Kitty,"Adams, Lilith",5,117995654,,12,4.58,unknown,None,"Jun 16, 2021","Jun 16, 2021","Jun 16, 2021",ebook,"May 26, 2021"
"The Perfect Catch
        (The Brentwood Boys, #8)","Quinn, Meghan*",5,117995654,,"12,118",4.35,458pp,None,"Jun 14, 2021","Aug 24, 2021","Jun 14, 2021",Kindle Edition,"Jun 10, 2021"
"No Gentle Giant
        (Heroes of Heart's Edge, #7)","Snow, Nicole*",5,117995654,,"5,828",4.27,450pp,None,"Jun 04, 2021","Aug 24, 2021","Jun 04, 2021",Kindle Edition,"Jun 03, 2021"
"Had To Make You Mine
        (Southern Charms #1)","Long, Kat*",Invalid rating,117995654,,100,4.38,310pp,None,"May 20, 2021","Jul 29, 2021","May 20, 2021",ebook,"May 29, 2021"
Out of the Blue,"Nolan, Kathryn*",5,117995654,,"1,703",4.15,359pp,None,"May 14, 2021","May 16, 2021","May 14, 2021",Kindle Edition,"May 14, 2021"
The Blind Date,"Landish, Lauren*",5,117995654,,"7,238",3.93,400pp,"If you need a little sunshine in your life, this is the book for you!Riley Sunshine's bubbly personality makes this book even better! Noah's workaholIf you need a little sunshine in your life, this is the book for you!Riley Sunshine's bubbly personality makes this book even better! Noah's workaholic, grumpy persona is no match for Riley, and when they come together, holy wow the heat!! Make sure you add this book to your TBR!!...more",not set,not set,"May 10, 2021",Kindle Edition,"May 06, 2021"
"Chasing Her Fire
        (Bailey Brothers, #5)","Kingsley, Claire*",5,117995654,,"22,566",4.29,456pp,None,"May 20, 2021","May 25, 2021","Apr 29, 2021",ebook,"May 20, 2021"
Blindsided,"Taylor, Angela*",Invalid rating,117995654,,40,4.38,210pp,None,"Apr 11, 2021","Apr 13, 2021","Apr 11, 2021",ebook,"Oct 16, 2020"
This Thing of Ours,"Cross, Gladys*",Invalid rating,117995654,,69,4.09,unknown,None,not set,"Mar 31, 2021","Mar 31, 2021",ebook,"Mar 17, 2021"
"Bossy Grump
        (Bad Chicago Bosses, #2)","Snow, Nicole*",Invalid rating,117995654,,"13,214",4.21,502pp,None,"Mar 29, 2021","May 03, 2021","Mar 29, 2021",Kindle Edition,"Mar 28, 2021"
"Not So Sincerely, Yours
        (For Him, #2)","Johnson, A.M.*",5,117995654,,"3,404",4.24,323pp,"Add this to your TBR!I didn't think I'd love anything more than Love Always, Wild, but seeing Anders and Ethan come to life on the pages was beautifuAdd this to your TBR!I didn't think I'd love anything more than Love Always, Wild, but seeing Anders and Ethan come to life on the pages was beautiful. Amazing read!...more","Mar 25, 2021","Mar 26, 2021","Mar 25, 2021",ebook,"Mar 25, 2021"
BANKS: Blood & Whiskey Vol. 1,"Lee, August*",5,117995654,1527281515,12,4.58,268pp,None,"Mar 21, 2021","Aug 24, 2021","Mar 21, 2021",Kindle Edition,"Apr 23, 2020"
"I Pucking Love You
        (The Copper Valley Thrusters #5)","Grant, Pippa*",Invalid rating,117995654,,"6,758",4.45,379pp,None,"Apr 15, 2021","Apr 19, 2021","Mar 12, 2021",ebook,"Apr 08, 2021"
Forever Never,"Score, Lucy*",5,117995654,,"87,811",3.98,588pp,None,"Mar 10, 2021","Mar 17, 2021","Mar 10, 2021",Kindle Edition,"Mar 04, 2021"
The Hero I Need,"Snow, Nicole*",5,117995654,,"4,438",4.56,444pp,None,"Feb 19, 2021","May 20, 2021","Feb 19, 2021",Kindle Edition,"Jan 20, 2021"
"Complicated Hearts
        (Complicated Hearts Duet, #2)","Jade, Ashley*",5,117995654,,"7,602",4.21,368pp,"Amazing read!Read book one then have on for book two!! All the tears, all the swoon, and all the props to Ashley!!!","Feb 18, 2021","Feb 19, 2021","Feb 18, 2021",ebook,"Aug 29, 2017"
Drop Dead Gorgeous,"Landish, Lauren*",5,117995654,,"8,142",3.99,381pp,"Blake has all the SWOON!! As always, Lauren delivers a whitty and oh so hot story! Add this to your TBR today!!",not set,not set,"Feb 18, 2021",Kindle Edition,"Feb 05, 2021"
"Marrying Mr. Wrong
        (Dirty Martini Running Club, #3)","Kingsley, Claire*",5,117995654,,"21,187",4.10,380pp,None,"Feb 19, 2021","Mar 10, 2021","Feb 04, 2021",Paperback,Mar 2021
Boss Me Dirty,"Grey, Parker*",Invalid rating,117995654,,"1,501",3.81,179pp,None,"Jan 27, 2021","Jan 27, 2021","Jan 27, 2021",Kindle Edition,"Nov 29, 2016"
Love Under Construction,"Long, Kat*",5,117995654,,27,4.67,85pp,"Steamy Short ReadLove this short, sexy novella! Maddox is a big marshmellow! Add this to your TBR today, you won't regret it!Steamy Short ReadLove this short, sexy novella! Maddox is a big marshmellow! Add this to your TBR today, you won't regret it!...more","Jan 30, 2021Jan 30, 2021","May 20, 2021Mar 19, 2021","Jan 11, 2021",ebook,"Mar 12, 2021"
A Steamy Christmas Anthology,"Long, Kat*",5,117995654,1393908470,2,5.00,181pp,"Sexy, steamy Christmas Anthology. Perfect to warm you up on a cold night!",not set,not set,"Jan 10, 2021",Kindle Edition,"Dec 17, 2020"
"The Hot Mess and the Heartthrob
        (Copper Valley Bro Code, #4)","Grant, Pippa*",5,117995654,,"10,102",4.42,347pp,Amazing!From one hot mess mom to another this book has all the things!! Pippa for the win! You will fall in love with Levi all over again as he findsAmazing!From one hot mess mom to another this book has all the things!! Pippa for the win! You will fall in love with Levi all over again as he finds his HEA with Ingrid....more,"Jan 07, 2021","Jan 22, 2021","Jan 07, 2021",Kindle Edition,"Jan 07, 2021"
"High Risk Rookie
        (Vancouver Wolves Hockey, #4)","Stone, Odette*",5,117995654,,"14,863",4.04,383pp,Love this story! So worth the wait!!,"Jan 05, 2021","Jan 06, 2021","Jan 05, 2021",Kindle Edition,"Jan 02, 2021"
"Naughty
        (Dark Christmas Duet, #2)",Vivian Murdoch*,Invalid rating,117995654,,43,4.37,182pp,None,"Dec 27, 2020","Dec 27, 2020","Dec 27, 2020",Kindle Edition,"Dec 24, 2020"
"Nice
        (Dark Christmas Duet, #1)",Vivian Murdoch*,Invalid rating,117995654,,89,4.20,242pp,None,"Dec 23, 2020","Dec 23, 2020","Dec 23, 2020",Kindle Edition,"Dec 05, 2020"
"Kraken: Volume One
        (Kronos Rising #2)","Hawthorne, Max*",Invalid rating,117995654,,403,4.23,554pp,None,"Dec 22, 2020",Jan 2021,"Dec 22, 2020",Kindle Edition,"Apr 24, 2016"
Noelle,"Long, Kat*",5,117995654,1393171176,63,4.46,unknown,"Short and SexyIf you are missing Christmas, this steamy read will bring back that holiday feeling. Gabriel and Noelle have all the heat and the cutestShort and SexyIf you are missing Christmas, this steamy read will bring back that holiday feeling. Gabriel and Noelle have all the heat and the cutest HEA! Five stars!...more",not set,not set,"Dec 15, 2020",ebook,"Dec 17, 2020"
A Time for Change,"Cross, Gladys*",5,117995654,,5,4.60,unknown,Quick Sexy Christmas read. Five Stars!,not set,not set,"Dec 13, 2020",ebook,"Dec 10, 2020"
Mr. Grumpy Boss,"Hart, Lindsey*",Invalid rating,117995654,,"3,995",3.90,174pp,None,"Dec 08, 2020","Dec 09, 2020","Dec 08, 2020",Kindle Edition,"Oct 15, 2020"
"The Devil's Advocate
        (Devil's Playground, #2)","Jade, Ashley*",Invalid rating,117995654,,"13,548",4.28,326pp,None,"Dec 03, 2020","Dec 04, 2020","Dec 03, 2020",Kindle Edition,"Mar 26, 2019"
"The Devil
        (Devil's Playground, #1)","Jade, Ashley*",Invalid rating,117995654,,"15,700",4.14,230pp,None,not set,"Dec 03, 2020","Dec 03, 2020",Kindle Edition,"Nov 13, 2018"
"Frenched
        (Frenched, #1)","Harlow, Melanie*",Invalid rating,117995654,,"16,447",4.14,336pp,None,"Nov 29, 2020","Dec 03, 2020","Nov 29, 2020",ebook,"Mar 16, 2014"
"Can I Come Over?
        (Naughty Bedroom Collection, #1)","G., Whitney*",Invalid rating,117995654,,"7,308",3.68,96pp,None,"Nov 29, 2020","Nov 29, 2020","Nov 29, 2020",Kindle Edition,"Jun 04, 2020"
"Never Kiss an Outlaw
        (Deadly Pistols MC, #2)","Snow, Nicole*",Invalid rating,117995654,,"2,217",4.03,355pp,None,"Nov 23, 2020","Nov 23, 2020","Nov 23, 2020",Kindle Edition,"Feb 29, 2016"
"Never Love an Outlaw
        (Deadly Pistols MC, #1)","Snow, Nicole*",Invalid rating,117995654,,"3,040",3.75,338pp,None,"Nov 21, 2020","Nov 21, 2020","Nov 21, 2020",Kindle Edition,"Oct 07, 2015"
Sexy Shorts,"Nolan, Kathryn*",Invalid rating,117995654,,748,4.16,242pp,None,"Nov 16, 2020","Nov 29, 2020","Nov 16, 2020",Kindle Edition,"Nov 13, 2020"
"Office Grump
        (Bad Chicago Bosses, #1)","Snow, Nicole*",Invalid rating,117995654,,"15,466",4.07,484pp,None,not set,"Nov 18, 2020","Nov 12, 2020",Kindle Edition,"Nov 13, 2020"
"Baby Fever Bride
        (Baby Fever Love, #1)","Snow, Nicole*",Invalid rating,117995654,,"4,413",3.96,335pp,None,"Nov 12, 2020","Nov 26, 2020","Nov 12, 2020",Kindle Edition,"Jan 04, 2017"
"The Setup
        (The Brentwood Boys, #6)","Quinn, Meghan*",Invalid rating,117995654,,"13,980",4.24,408pp,None,"Nov 11, 2020","Nov 29, 2020","Nov 11, 2020",Kindle Edition,"Sep 10, 2020"
"The Trade
        (The Brentwood Boys, #4)","Quinn, Meghan*",Invalid rating,117995654,,"18,214",4.17,437pp,None,"Nov 04, 2020","Nov 08, 2020","Nov 04, 2020",Kindle Edition,"Mar 12, 2020"
"See Me After Class
        (Steamy Teacher Romances, #1)","Quinn, Meghan*",Invalid rating,117995654,,"15,438",4.14,430pp,None,"Nov 12, 2020","Nov 15, 2020","Nov 04, 2020",ebook,"Nov 12, 2020"
"The Lineup
        (The Brentwood Boys, #3)","Quinn, Meghan*",Invalid rating,117995654,,"17,283",4.20,356pp,None,"Oct 26, 2020","Nov 04, 2020","Oct 26, 2020",Kindle Edition,"Dec 05, 2019"
"The Dugout
        (The Brentwood Boys, #2)","Quinn, Meghan*",Invalid rating,117995654,,"20,439",4.27,362pp,None,"Oct 25, 2020","Oct 26, 2020","Oct 25, 2020",Kindle Edition,"Sep 19, 2019"
Romancing the Beat: Story Structure for Romance Novels,"Hayes, Gwen",Invalid rating,117995654,,"4,047",4.40,94pp,None,"Oct 25, 2020","Oct 27, 2020","Oct 25, 2020",Kindle Edition,"Apr 19, 2016"
"Devotion
        (The Hunted, #4)","Smoak, Ivy*",Invalid rating,117995654,,"19,952",4.40,469pp,None,not set,"Oct 24, 2020","Oct 24, 2020",Kindle Edition,Sep 2020
"Eruption
        (The Hunted, #3)","Smoak, Ivy*",Invalid rating,117995654,,"20,230",4.36,383pp,None,not set,"Oct 24, 2020","Oct 24, 2020",Kindle Edition,Sep 2020
"Rushing In
        (Bailey Brothers, #4)","Kingsley, Claire*",Invalid rating,117995654,,"18,787",4.35,419pp,None,"Nov 18, 2020","Nov 20, 2020","Oct 23, 2020",ebook,"Nov 18, 2020"
